"";"X";"V1"
"1";1;2
"2";2;4
"3";3;2
"4";4;2
"5";5;2
"6";6;2
"7";7;2
"8";8;2
"9";9;1
"10";10;2
"11";11;1
"12";12;2
"13";13;2
"14";14;2
"15";15;2
"16";16;2
"17";17;2
"18";18;4
"19";19;4
"20";20;4
"21";21;4
"22";22;4
"23";23;3
"24";24;4
"25";25;4
"26";26;2
"27";27;1
"28";28;2
"29";29;2
"30";30;2
"31";31;4
"32";32;4
"33";33;2
"34";34;2
"35";35;2
"36";36;2
"37";37;2
"38";38;4
"39";39;2
"40";40;2
"41";41;4
"42";42;4
"43";43;3
"44";44;4
"45";45;4
"46";46;4
"47";47;1
"48";48;2
"49";49;2
"50";50;3
"51";51;3
"52";52;3
"53";53;1
"54";54;1
"55";55;3
"56";56;3
"57";57;1
"58";58;1
"59";59;1
"60";60;1
"61";61;2
"62";62;2
"63";63;4
"64";64;0
"65";65;1
"66";66;2
"67";67;2
"68";68;4
"69";69;4
"70";70;2
"71";71;1
"72";72;2
"73";73;1
"74";74;4
"75";75;1
"76";76;1
"77";77;1
"78";78;4
"79";79;1
"80";80;1
"81";81;2
"82";82;2
"83";83;2
"84";84;2
"85";85;2
"86";86;2
"87";87;2
"88";88;2
"89";89;2
"90";90;2
"91";91;2
"92";92;2
"93";93;2
"94";94;2
"95";95;2
"96";96;2
"97";97;2
"98";98;2
"99";99;2
"100";100;2
"101";101;4
"102";102;4
"103";103;4
"104";104;4
"105";105;2
"106";106;4
"107";107;4
"108";108;4
"109";109;4
"110";110;2
"111";111;2
"112";112;4
"113";113;2
"114";114;2
"115";115;2
"116";116;2
"117";117;2
"118";118;1
"119";119;4
"120";120;2
"121";121;2
"122";122;2
"123";123;2
"124";124;2
"125";125;4
"126";126;4
"127";127;4
"128";128;4
"129";129;2
"130";130;4
"131";131;4
"132";132;4
"133";133;3
"134";134;3
"135";135;3
"136";136;1
"137";137;4
"138";138;1
"139";139;1
"140";140;0
"141";141;4
"142";142;4
"143";143;1
"144";144;3
"145";145;2
"146";146;1
"147";147;1
"148";148;2
"149";149;1
"150";150;1
"151";151;2
"152";152;2
"153";153;4
"154";154;4
"155";155;4
"156";156;0
"157";157;2
"158";158;2
"159";159;2
"160";160;4
"161";161;1
"162";162;1
"163";163;2
"164";164;2
"165";165;1
"166";166;2
"167";167;2
"168";168;1
"169";169;1
"170";170;1
"171";171;1
"172";172;1
"173";173;3
"174";174;1
"175";175;4
"176";176;1
"177";177;1
"178";178;1
"179";179;3
"180";180;2
"181";181;2
"182";182;1
"183";183;2
"184";184;2
"185";185;1
"186";186;1
"187";187;1
"188";188;2
"189";189;2
"190";190;4
"191";191;4
"192";192;2
"193";193;4
"194";194;4
"195";195;4
"196";196;3
"197";197;2
"198";198;1
"199";199;1
"200";200;4
"201";201;4
"202";202;2
"203";203;2
"204";204;2
"205";205;4
"206";206;4
"207";207;4
"208";208;4
"209";209;4
"210";210;4
"211";211;4
"212";212;4
"213";213;1
"214";214;4
"215";215;4
"216";216;4
"217";217;4
"218";218;4
"219";219;4
"220";220;4
"221";221;4
"222";222;4
"223";223;2
"224";224;4
"225";225;4
"226";226;1
"227";227;4
"228";228;1
"229";229;4
"230";230;4
"231";231;1
"232";232;2
"233";233;1
"234";234;1
"235";235;1
"236";236;1
"237";237;2
"238";238;4
"239";239;4
"240";240;2
"241";241;2
"242";242;4
"243";243;4
"244";244;4
"245";245;4
"246";246;4
"247";247;4
"248";248;4
"249";249;1
"250";250;1
"251";251;4
"252";252;4
"253";253;4
"254";254;4
"255";255;4
"256";256;4
"257";257;4
"258";258;4
"259";259;4
"260";260;4
"261";261;2
"262";262;4
"263";263;4
"264";264;2
"265";265;2
"266";266;4
"267";267;3
"268";268;4
"269";269;4
"270";270;4
"271";271;2
"272";272;1
"273";273;1
"274";274;2
"275";275;4
"276";276;3
"277";277;3
"278";278;2
"279";279;3
"280";280;3
"281";281;1
"282";282;2
"283";283;1
"284";284;4
"285";285;4
"286";286;1
"287";287;1
"288";288;1
"289";289;4
"290";290;4
"291";291;4
"292";292;4
"293";293;2
"294";294;2
"295";295;4
"296";296;4
"297";297;4
"298";298;4
"299";299;4
"300";300;2
"301";301;4
"302";302;4
"303";303;4
"304";304;4
"305";305;4
"306";306;4
"307";307;4
"308";308;4
"309";309;2
"310";310;2
"311";311;4
"312";312;4
"313";313;4
"314";314;4
"315";315;1
"316";316;1
"317";317;1
"318";318;0
"319";319;4
"320";320;4
"321";321;2
"322";322;2
"323";323;1
"324";324;1
"325";325;2
"326";326;2
"327";327;2
"328";328;1
"329";329;2
"330";330;1
"331";331;3
"332";332;3
"333";333;3
"334";334;4
"335";335;4
"336";336;4
"337";337;1
"338";338;1
"339";339;4
"340";340;4
"341";341;3
"342";342;4
"343";343;4
"344";344;3
"345";345;4
"346";346;4
"347";347;4
"348";348;2
"349";349;2
"350";350;4
"351";351;4
"352";352;2
"353";353;2
"354";354;2
"355";355;4
"356";356;4
"357";357;2
"358";358;2
"359";359;4
"360";360;2
"361";361;4
"362";362;2
"363";363;2
"364";364;1
"365";365;2
"366";366;2
"367";367;2
"368";368;2
"369";369;2
"370";370;2
"371";371;2
"372";372;4
"373";373;4
"374";374;4
"375";375;3
"376";376;4
"377";377;4
"378";378;2
"379";379;2
"380";380;2
"381";381;4
"382";382;2
"383";383;2
"384";384;2
"385";385;2
"386";386;2
"387";387;4
"388";388;2
"389";389;2
"390";390;1
"391";391;2
"392";392;4
"393";393;0
"394";394;4
"395";395;3
"396";396;4
"397";397;4
"398";398;4
"399";399;4
"400";400;1
"401";401;4
"402";402;1
"403";403;3
"404";404;3
"405";405;1
"406";406;2
"407";407;3
"408";408;3
"409";409;3
"410";410;1
"411";411;1
"412";412;2
"413";413;2
"414";414;2
"415";415;2
"416";416;4
"417";417;2
"418";418;2
"419";419;2
"420";420;1
"421";421;2
"422";422;2
"423";423;2
"424";424;2
"425";425;2
"426";426;2
"427";427;2
"428";428;4
"429";429;4
"430";430;2
"431";431;2
"432";432;2
"433";433;2
"434";434;2
"435";435;2
"436";436;4
"437";437;4
"438";438;4
"439";439;2
"440";440;2
"441";441;2
"442";442;2
"443";443;2
"444";444;2
"445";445;2
"446";446;2
"447";447;2
"448";448;2
"449";449;4
"450";450;2
"451";451;2
"452";452;2
"453";453;2
"454";454;2
"455";455;1
"456";456;2
"457";457;2
"458";458;1
"459";459;2
"460";460;2
"461";461;2
"462";462;2
"463";463;1
"464";464;2
"465";465;2
"466";466;2
"467";467;2
"468";468;2
"469";469;2
"470";470;2
"471";471;2
"472";472;2
"473";473;2
"474";474;2
"475";475;2
"476";476;2
"477";477;2
"478";478;2
"479";479;1
"480";480;2
"481";481;2
"482";482;2
"483";483;2
"484";484;2
"485";485;2
"486";486;2
"487";487;2
"488";488;4
"489";489;2
"490";490;2
"491";491;4
"492";492;2
"493";493;4
"494";494;2
"495";495;2
"496";496;2
"497";497;2
"498";498;2
"499";499;4
"500";500;4
"501";501;4
"502";502;2
"503";503;2
"504";504;2
"505";505;2
"506";506;2
"507";507;2
"508";508;2
"509";509;2
"510";510;2
"511";511;2
"512";512;4
"513";513;2
"514";514;2
"515";515;2
"516";516;2
"517";517;2
"518";518;4
"519";519;2
"520";520;2
"521";521;4
"522";522;4
"523";523;1
"524";524;2
"525";525;1
"526";526;4
"527";527;4
"528";528;2
"529";529;1
"530";530;1
"531";531;1
"532";532;1
"533";533;2
"534";534;1
"535";535;2
"536";536;2
"537";537;4
"538";538;4
"539";539;4
"540";540;4
"541";541;4
"542";542;4
"543";543;4
"544";544;4
"545";545;2
"546";546;1
"547";547;3
"548";548;3
"549";549;3
"550";550;3
"551";551;3
"552";552;4
"553";553;4
"554";554;3
"555";555;4
"556";556;3
"557";557;3
"558";558;3
"559";559;4
"560";560;4
"561";561;3
"562";562;3
"563";563;3
"564";564;3
"565";565;3
"566";566;3
"567";567;3
"568";568;3
"569";569;1
"570";570;1
"571";571;2
"572";572;3
"573";573;3
"574";574;3
"575";575;3
"576";576;4
"577";577;4
"578";578;3
"579";579;2
"580";580;2
"581";581;1
"582";582;4
"583";583;3
"584";584;3
"585";585;3
"586";586;2
"587";587;2
"588";588;2
"589";589;1
"590";590;1
"591";591;1
"592";592;3
"593";593;1
"594";594;1
"595";595;1
"596";596;1
"597";597;1
"598";598;3
"599";599;3
"600";600;3
"601";601;3
"602";602;3
"603";603;3
"604";604;3
"605";605;4
"606";606;3
"607";607;4
"608";608;3
"609";609;4
"610";610;3
"611";611;2
"612";612;2
"613";613;1
"614";614;3
"615";615;4
"616";616;4
"617";617;3
"618";618;3
"619";619;4
"620";620;4
"621";621;3
"622";622;3
"623";623;4
"624";624;3
"625";625;3
"626";626;3
"627";627;1
"628";628;3
"629";629;3
"630";630;3
"631";631;3
"632";632;1
"633";633;3
"634";634;3
"635";635;4
"636";636;4
"637";637;3
"638";638;3
"639";639;4
"640";640;4
"641";641;3
"642";642;4
"643";643;3
"644";644;2
"645";645;1
"646";646;1
"647";647;3
"648";648;3
"649";649;1
"650";650;3
"651";651;2
"652";652;3
"653";653;3
"654";654;3
"655";655;3
"656";656;1
"657";657;3
"658";658;3
"659";659;1
"660";660;1
"661";661;4
"662";662;4
"663";663;0
"664";664;3
"665";665;3
"666";666;4
"667";667;1
"668";668;2
"669";669;3
"670";670;3
"671";671;3
"672";672;3
"673";673;4
"674";674;3
"675";675;3
"676";676;3
"677";677;3
"678";678;3
"679";679;4
"680";680;4
"681";681;1
"682";682;1
"683";683;1
"684";684;3
"685";685;1
"686";686;1
"687";687;1
"688";688;4
"689";689;4
"690";690;4
"691";691;4
"692";692;3
"693";693;3
"694";694;1
"695";695;4
"696";696;4
"697";697;1
"698";698;1
"699";699;1
"700";700;2
"701";701;4
"702";702;3
"703";703;3
"704";704;4
"705";705;4
"706";706;4
"707";707;1
"708";708;2
"709";709;3
"710";710;1
"711";711;3
"712";712;2
"713";713;2
"714";714;3
"715";715;3
"716";716;3
"717";717;4
"718";718;3
"719";719;3
"720";720;4
"721";721;3
"722";722;3
"723";723;1
"724";724;3
"725";725;1
"726";726;2
"727";727;3
"728";728;1
"729";729;3
"730";730;3
"731";731;1
"732";732;3
"733";733;3
"734";734;1
"735";735;3
"736";736;3
"737";737;3
"738";738;3
"739";739;3
"740";740;3
"741";741;4
"742";742;3
"743";743;3
"744";744;3
"745";745;2
"746";746;1
"747";747;1
"748";748;4
"749";749;1
"750";750;4
"751";751;4
"752";752;2
"753";753;3
"754";754;1
"755";755;2
"756";756;2
"757";757;3
"758";758;4
"759";759;3
"760";760;3
"761";761;3
"762";762;1
"763";763;1
"764";764;4
"765";765;4
