"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"ir";-0,0966968615049978;0,224837792047268;0,334104111778713;-0,233477495993344;0,542877647473131;0,806704480425588;0,0797342227475346;0,358489019017091;0,561776758235867;0,000164041402937077;0,000886885065264159;0,00195835922916541;0,0175440040157007;0,174666346623751;0,000535238310399167
"más";0,496282442236117;-0,180283880661457;0,22940472338551;0,862057499246315;-0,313158512352719;0,39848289064177;0,809162604770348;0,0887991897863865;0,102038205442794;0,00359240740626338;0,000474069000047014;0,000767595593470203;0,0145857162841602;0,281403989060066;0,00115501669204127
"decir";-0,564791430597536;0,298187452664951;0,201293927677959;-0,843419230657712;0,445291869340825;0,300597991436582;0,765245876580923;0,177386578135189;0,0573675452837883;0,00445188116397385;0,00124092660441129;0,000565494927402653;0,0139562058211203;0,32931145687533;0,00151349519372779
"hacer";-0,496880625492887;0,302144624288968;0,118053486853581;-0,837351360626453;0,509179064897867;0,198945667775808;0,745816206155014;0,229337280907213;0,024846512937789;0,00302510421952562;0,00111857719004821;0,000170763030488812;0,0122528245681887;0,293464380252946;0,00105522970095059
"bueno";-0,43178796883451;0,301442174974451;0,311765344926734;-0,705571817185719;0,492577650431607;0,509446433973699;0,583776665412836;0,236608810287414;0,179614524299758;0,00184027550020377;0,000896911927220086;0,000959394991413918;0,00987055948256709;0,288248072626569;0,000820114695751682
"cosa";0,737786047193317;0,322213568610118;-0,320725344001802;0,851346300370834;0,371808779264744;-0,370091486671274;0,787312681987176;0,124879527482479;0,0878077905303171;0,00523620817396986;0,000998719842812227;0,000989515469559273;0,00961957818684529;0,424107599735695;0,00173024713382262
"mucho";0,099945674724161;0,35321951886991;0,311323890825621;0,207646078105493;0,733845141433777;0,64680322714211;0,0584348935540374;0,606947131802945;0,334617974643002;8,99263255375374e-05;0,00112317707093057;0,000872536771711451;0,00900241106621792;0,210885692556434;0,000400362204731264
"eh";-0,188454672163487;-0,0455585496198722;-0,106815394750661;-0,851349052592362;-0,205811973834815;-0,482541420062884;0,807624699146988;0,0392511855717106;0,153124115281295;0,000252358349019722;1,47483569071961e-05;8,1072125506127e-05;0,00710565078215646;0,106959989949344;8,12917675258486e-05
"vida";1,60309391771186;1,7479033147126;-2,04739839636666;0,511648166633962;0,55786595940842;-0,653453689953182;0,338836331708335;0,334984009097282;0,326179659194359;0,0185040802595325;0,0219980600206166;0,0301824359937147;0,00720028307398599;1,40469883205958;0,0142074459788751
"querer";-0,0149199961263484;0,388670556505494;0,314248592542634;-0,0298376300596319;0,777279577144269;0,628447431999567;0,0012089635034722;0,682270006286339;0,316521030210183;1,49841544931894e-06;0,00101685283956395;0,0006647242212132;0,00673123606230919;0,218867539586741;0,000322446400317048
"gente";0,450797883547398;0,127644882443226;0,269900237658602;0,83372785831804;0,23607274645392;0,499166822461306;0,782332186709892;0,0521616718063072;0,165506141483794;0,00136707712330456;0,000109606445622639;0,00049004483143585;0,00672712161483834;0,259959390392428;0,000454611375657226
"año";-0,938973723650576;0,572061392652762;0,346585772064071;-0,814485155208623;0,496217839166111;0,30063563999982;0,719901972387979;0,222212757510375;0,0578852701016588;0,00589483652178032;0,00218801434735072;0,000803130922831597;0,00668597714012985;0,564463673769156;0,00213028094839281
"ver";-0,436953584568887;0,208003899259629;0,183898675185898;-0,844029361368273;0,401785005213839;0,355222812800052;0,7734051666677;0,145745996582873;0,0808488367494349;0,00127811428229629;0,000289628988621211;0,000226389497831908;0,00669420603507155;0,253425908807155;0,000429933315798037
"político";0,746817647446251;-0,910021825828762;0,561245110990651;0,572636076376935;-0,697775862075437;0,430344943430859;0,389392637594569;0,480816579435498;0,129790782969969;0,00330448022964171;0,004906565842754;0,00186629011561477;0,00592480435802276;0,610435728264036;0,00220777038425398
