"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"10831";"35127";"30.83";"****";""
"154";"1750";" 8.80";"-419.267";"vida";"3.523709e-93"
" 69";"1063";" 6.49";"-304.577";"presidente";"3.315705e-68"
" 25";" 685";" 3.65";"-242.078";"pepe";"1.385635e-54"
"239";"1625";"14.71";"-207.761";"año";"4.230985e-47"
" 11";" 500";" 2.20";"-195.000";"mujica";"2.576794e-44"
"187";"1289";"14.51";"-167.245";"vivir";"2.957960e-38"
"150";"1106";"13.56";"-159.730";"tiempo";"1.296410e-36"
"735";"3392";"21.67";"-147.884";"decir";"5.029214e-34"
" 58";" 626";" 9.27";"-139.030";"día";"4.338364e-32"
" 82";" 722";"11.36";"-131.116";"acá";"2.335087e-30"
"645";"2978";"21.66";"-128.437";"hacer";"9.007344e-30"
"161";"1068";"15.07";"-128.266";"hablar";"9.815209e-30"
"126";" 884";"14.25";"-116.894";"uruguay";"3.028244e-27"
" 31";" 422";" 7.35";"-110.491";"casa";"7.648951e-26"
"156";" 966";"16.15";"-100.439";"ahí";"1.221298e-23"
" 70";" 570";"12.28";" -93.518";"argentino";"4.026184e-22"
" 29";" 358";" 8.10";" -87.647";"aquí";"7.826271e-21"
" 20";" 304";" 6.58";" -84.591";"ir|ser";"3.668775e-20"
" 14";" 259";" 5.41";" -79.110";"gracia";"5.874540e-19"
"  1";" 180";" 0.56";" -77.776";"josé";"1.154231e-18"
"148";" 862";"17.17";" -77.368";"ya";"1.418979e-18"
"  7";" 201";" 3.48";" -70.912";"amor";"3.734727e-17"
"  6";" 192";" 3.12";" -69.502";"vino";"7.634047e-17"
" 16";" 244";" 6.56";" -67.899";"nbsp";"1.720477e-16"
"320";"1504";"21.28";" -67.297";"pasar";"2.335343e-16"
" 21";" 268";" 7.84";" -66.976";"tema";"2.748101e-16"
" 32";" 321";" 9.97";" -66.131";"brasil";"4.218689e-16"
" 24";" 279";" 8.60";" -65.176";"señor";"6.848257e-16"
"174";" 920";"18.91";" -62.951";"después";"2.119137e-15"
" 49";" 389";"12.60";" -61.347";"salir";"4.785676e-15"
" 26";" 277";" 9.39";" -60.222";"leer";"8.475745e-15"
"  1";" 131";" 0.76";" -55.751";"noche";"8.225328e-14"
" 25";" 258";" 9.69";" -54.484";"amigo";"1.567022e-13"
" 67";" 450";"14.89";" -54.342";"comprar";"1.684501e-13"
"  4";" 146";" 2.74";" -54.259";"amplio";"1.757403e-13"
"  7";" 160";" 4.38";" -52.762";"ver|vestir";"3.764803e-13"
" 40";" 323";"12.38";" -52.033";"pedir";"5.456297e-13"
" 18";" 217";" 8.29";" -52.011";"preguntar";"5.519063e-13"
"  0";" 116";" 0.00";" -51.883";"cuatro";"5.889666e-13"
"150";" 779";"19.26";" -50.078";"cómo";"1.477182e-12"
"137";" 722";"18.98";" -48.609";"saber|ser";"3.124763e-12"
" 11";" 172";" 6.40";" -48.405";"tocar";"3.467375e-12"
" 17";" 202";" 8.42";" -47.877";"valer";"4.537833e-12"
"589";"2399";"24.55";" -47.645";"bueno";"5.108190e-12"
" 39";" 306";"12.75";" -47.361";"millón";"5.906065e-12"
" 45";" 333";"13.51";" -47.290";"joven";"6.121652e-12"
" 59";" 388";"15.21";" -44.928";"frente";"2.043675e-11"
" 32";" 264";"12.12";" -43.675";"tres";"3.877870e-11"
"154";" 771";"19.97";" -43.593";"uno";"4.043598e-11"
" 12";" 166";" 7.23";" -43.576";"escuchar";"4.077756e-11"
"367";"1570";"23.38";" -42.863";"dar";"5.870269e-11"
" 14";" 173";" 8.09";" -42.160";"ah";"8.409945e-11"
"117";" 616";"18.99";" -41.216";"llegar";"1.362730e-10"
" 23";" 214";"10.75";" -40.732";"vivo";"1.745633e-10"
"  6";" 126";" 4.76";" -40.305";"contar";"2.172804e-10"
"  5";" 119";" 4.20";" -39.711";"escuela";"2.944462e-10"
"  1";"  95";" 1.05";" -39.615";"senador";"3.092516e-10"
" 12";" 156";" 7.69";" -39.348";"mañana";"3.546548e-10"
" 17";" 181";" 9.39";" -39.221";"libro";"3.785301e-10"
" 32";" 251";"12.75";" -38.770";"compañero";"4.768032e-10"
"227";"1030";"22.04";" -38.487";"venir";"5.512414e-10"
"  9";" 138";" 6.52";" -38.398";"mandar";"5.768241e-10"
"  5";" 116";" 4.31";" -38.391";"montevideo";"5.788536e-10"
"  2";"  98";" 2.04";" -38.203";"presidencia";"6.376868e-10"
"  2";"  97";" 2.06";" -37.756";"abuelo";"8.015246e-10"
"  2";"  97";" 2.06";" -37.756";"entrever";"8.015246e-10"
"278";"1217";"22.84";" -37.745";"ahora";"8.061954e-10"
"  6";" 119";" 5.04";" -37.245";"campaña";"1.042032e-09"
"  4";" 107";" 3.74";" -36.947";"edad";"1.213680e-09"
" 11";" 145";" 7.59";" -36.898";"mes";"1.244868e-09"
"  7";" 122";" 5.74";" -36.155";"soledad";"1.822722e-09"
" 51";" 327";"15.60";" -35.935";"volver";"2.040264e-09"
"160";" 764";"20.94";" -35.829";"saber";"2.153718e-09"
"  0";"  80";" 0.00";" -35.745";"semana";"2.249210e-09"
"  6";" 114";" 5.26";" -35.065";"elección";"3.188035e-09"
" 81";" 449";"18.04";" -34.907";"gustar";"3.459091e-09"
"104";" 541";"19.22";" -34.729";"dos";"3.789167e-09"
"  2";"  88";" 2.27";" -33.744";"recuerdo";"6.285198e-09"
"396";"1627";"24.34";" -33.741";"ver";"6.295039e-09"
" 17";" 167";"10.18";" -33.565";"palabra";"6.893656e-09"
" 91";" 483";"18.84";" -33.030";"momento";"9.073256e-09"
"  1";"  80";" 1.25";" -32.905";"candidato";"9.675168e-09"
"  4";"  97";" 4.12";" -32.539";"barrio";"1.168293e-08"
"  4";"  97";" 4.12";" -32.539";"don";"1.168293e-08"
"  1";"  79";" 1.27";" -32.458";"cinco";"1.217680e-08"
" 48";" 303";"15.84";" -32.212";"pregunta";"1.382364e-08"
" 61";" 357";"17.09";" -31.959";"conocer";"1.574262e-08"
" 10";" 127";" 7.87";" -31.506";"padre";"1.988320e-08"
"  0";"  70";" 0.00";" -31.268";"lucir";"2.247704e-08"
" 23";" 189";"12.17";" -31.040";"morir";"2.528069e-08"
" 26";" 202";"12.87";" -30.738";"hora";"2.953794e-08"
" 15";" 150";"10.00";" -30.660";"república";"3.074974e-08"
"  2";"  81";" 2.47";" -30.628";"minuto";"3.125047e-08"
" 42";" 272";"15.44";" -30.454";"vuelta";"3.417986e-08"
"  4";"  92";" 4.35";" -30.342";"pena";"3.622724e-08"
"  0";"  67";" 0.00";" -29.925";"afecto";"4.490280e-08"
" 15";" 147";"10.20";" -29.458";"recibir";"5.713759e-08"
" 36";" 243";"14.81";" -29.442";"persona";"5.760683e-08"
"  6";" 101";" 5.94";" -29.432";"hermoso";"5.792626e-08"
"  1";"  72";" 1.39";" -29.331";"aventura";"6.101833e-08"
"  0";"  65";" 0.00";" -29.030";"gusto";"7.125506e-08"
"  1";"  71";" 1.41";" -28.884";"próximo";"7.683799e-08"
" 18";" 159";"11.32";" -28.517";"madre";"9.289877e-08"
"  7";" 104";" 6.73";" -28.415";"muerte";"9.791495e-08"
"106";" 525";"20.19";" -28.310";"cuenta";"1.033773e-07"
" 43";" 269";"15.99";" -28.025";"libertad";"1.197543e-07"
" 54";" 315";"17.14";" -27.936";"único";"1.253703e-07"
" 22";" 175";"12.57";" -27.504";"libre";"1.567399e-07"
"  6";"  96";" 6.25";" -27.280";"agradecer";"1.760609e-07"
" 15";" 141";"10.64";" -27.074";"chico";"1.957956e-07"
" 10";" 116";" 8.62";" -26.927";"escribir";"2.112504e-07"
" 10";" 116";" 8.62";" -26.927";"ministro";"2.112504e-07"
"  0";"  60";" 0.00";" -26.793";"televisión";"2.264118e-07"
"  2";"  72";" 2.78";" -26.629";"fundar";"2.465103e-07"
"  0";"  59";" 0.00";" -26.346";"echar";"2.853990e-07"
"  0";"  59";" 0.00";" -26.346";"seis";"2.853990e-07"
"  3";"  77";" 3.90";" -26.257";"conversar";"2.988755e-07"
"  3";"  77";" 3.90";" -26.257";"santo";"2.988755e-07"
" 13";" 129";"10.08";" -26.156";"lula";"3.149624e-07"
" 11";" 119";" 9.24";" -26.098";"feliz";"3.244901e-07"
"  6";"  93";" 6.45";" -25.993";"lejos";"3.426245e-07"
"  8";" 103";" 7.77";" -25.773";"cuánto";"3.839924e-07"
"157";" 709";"22.14";" -25.622";"viejo";"4.152310e-07"
" 22";" 169";"13.02";" -25.275";"auto";"4.972136e-07"
" 70";" 371";"18.87";" -25.174";"andar";"5.237897e-07"
"  2";"  68";" 2.94";" -24.855";"electoral";"6.181737e-07"
" 19";" 154";"12.34";" -24.813";"preciso";"6.318501e-07"
" 23";" 172";"13.37";" -24.712";"esperar";"6.655651e-07"
"  3";"  73";" 4.11";" -24.497";"vaca";"7.441903e-07"
"  4";"  78";" 5.13";" -24.221";"papá";"8.588285e-07"
" 13";" 124";"10.48";" -24.164";"picar";"8.848453e-07"
" 15";" 133";"11.28";" -23.940";"nacer";"9.939188e-07"
"  6";"  88";" 6.82";" -23.858";"hermano";"1.036938e-06"
" 24";" 174";"13.79";" -23.810";"dios";"1.063240e-06"
" 14";" 127";"11.02";" -23.455";"seguro";"1.278763e-06"
" 77";" 392";"19.64";" -23.280";"hijo";"1.400822e-06"
"  1";"  58";" 1.72";" -23.083";"lindo";"1.551244e-06"
"  2";"  64";" 3.12";" -23.083";"invitar";"1.551783e-06"
" 17";" 140";"12.14";" -23.025";"discurso";"1.598845e-06"
" 31";" 202";"15.35";" -22.850";"naturaleza";"1.751501e-06"
"  3";"  69";" 4.35";" -22.741";"flor";"1.853442e-06"
" 12";" 115";"10.43";" -22.512";"felicidad";"2.087982e-06"
" 15";" 129";"11.63";" -22.394";"recordar";"2.220363e-06"
" 19";" 147";"12.93";" -22.200";"mis";"2.457349e-06"
"  0";"  49";" 0.00";" -21.874";"reunión";"2.910919e-06"
"116";" 537";"21.60";" -21.796";"trabajar";"3.033069e-06"
" 12";" 113";"10.62";" -21.721";"españa";"3.153465e-06"
"195";" 831";"23.47";" -21.667";"así";"3.243829e-06"
"  5";"  77";" 6.49";" -21.438";"fútbol";"3.655404e-06"
"  3";"  66";" 4.55";" -21.427";"reciente|recién";"3.675051e-06"
"  1";"  54";" 1.85";" -21.301";"sobriedad";"3.925589e-06"
"  1";"  54";" 1.85";" -21.301";"mpp";"3.925589e-06"
" 26";" 175";"14.86";" -21.050";"loco";"4.473701e-06"
"  4";"  70";" 5.71";" -20.752";"vasco";"5.226816e-06"
"  0";"  46";" 0.00";" -20.533";"expresidente";"5.860000e-06"
" 50";" 274";"18.25";" -20.511";"caso";"5.929664e-06"
" 10";" 100";"10.00";" -20.411";"acabar";"6.248362e-06"
"  8";"  90";" 8.89";" -20.375";"durar";"6.364549e-06"
" 85";" 412";"20.63";" -20.349";"ejemplo";"6.453870e-06"
" 11";" 104";"10.58";" -20.070";"vengar|venir";"7.466082e-06"
"  2";"  57";" 3.51";" -19.989";"descubrir";"7.790750e-06"
" 14";" 118";"11.86";" -19.977";"programa";"7.837892e-06"
" 27";" 176";"15.34";" -19.909";"fin";"8.123626e-06"
" 47";" 259";"18.15";" -19.693";"último";"9.092018e-06"
"  6";"  78";" 7.69";" -19.630";"rato";"9.397651e-06"
"  1";"  50";" 2.00";" -19.520";"italiano";"9.956992e-06"
" 20";" 144";"13.89";" -19.467";"usar";"1.023373e-05"
" 20";" 144";"13.89";" -19.467";"muchacho";"1.023373e-05"
" 67";" 338";"19.82";" -19.403";"tierra";"1.058244e-05"
" 33";" 200";"16.50";" -19.378";"gastar";"1.072248e-05"
"  7";"  82";" 8.54";" -19.161";"conciencia";"1.201656e-05"
" 20";" 143";"13.99";" -19.111";"levantar";"1.233596e-05"
"  1";"  49";" 2.04";" -19.075";"diputado";"1.257070e-05"
" 22";" 151";"14.57";" -18.810";"animal";"1.443806e-05"
"  5";"  70";" 7.14";" -18.459";"milagro";"1.735959e-05"
"  0";"  41";" 0.00";" -18.299";"arena";"1.888168e-05"
"  2";"  53";" 3.77";" -18.225";"colorar";"1.962578e-05"
"  1";"  47";" 2.13";" -18.185";"chacra";"2.004718e-05"
"  1";"  47";" 2.13";" -18.185";"senado";"2.004718e-05"
" 11";"  99";"11.11";" -18.108";"movimiento";"2.087096e-05"
" 68";" 336";"20.24";" -17.859";"lugar";"2.379051e-05"
"  0";"  40";" 0.00";" -17.852";"piedra";"2.387593e-05"
"  8";"  83";" 9.64";" -17.525";"foto";"2.835278e-05"
"  3";"  57";" 5.26";" -17.504";"chile";"2.866676e-05"
" 15";" 116";"12.93";" -17.491";"dólar";"2.886682e-05"
"  0";"  39";" 0.00";" -17.405";"cristina";"3.019871e-05"
"  2";"  51";" 3.92";" -17.345";"señora";"3.116774e-05"
"  2";"  51";" 3.92";" -17.345";"ex";"3.116774e-05"
" 11";"  97";"11.34";" -17.332";"estudiar";"3.139361e-05"
"  6";"  72";" 8.33";" -17.127";"ayer";"3.495786e-05"
"  3";"  56";" 5.36";" -17.070";"congreso";"3.601787e-05"
