"";"classe 1";"classe 2";"classe 3";"classe 4"
"ir";-0,83;-19,499;-68,845;124,107
"más";238,862;6,535;-67,558;-117,435
"decir";-147,884;-89,839;0,545;373,254
"hacer";-128,437;-42,041;0,704;253,095
"bueno";-47,645;-50,51;-6,459;217,554
"cosa";7,254;334,752;-92,451;-109,61
"mucho";0,026;2,435;-91,757;36,836
"eh";-7,574;-5,031;14,387;2,562
"vida";-419,267;3510,279;-251,679;-299,035
"querer";-2,606;0,057;-55,489;52,495
"gente";42,499;14,669;-78,763;-6,917
"año";-207,761;-93,813;-0,05;504,453
"ver";-33,741;-30,707;0,138;101,341
"político";529,753;-29,517;-8,782;-245,392
"mundo";610,417;-8,159;-121,16;-173,166
"dar";-42,863;57,729;-55,763;34,855
"pasar";-67,297;-37,03;7,166;122,279
"vivir";-167,245;1593,375;-146,289;-129,727
"vez";4,539;0,025;-12,639;0,332
"país";0,064;-98,775;390,373;-55,304
"crear|creer";190,864;-2,1;-10,375;-95,889
"ahora";-37,745;-40,545;70,722;22,69
"tiempo";-159,73;832,116;-62,472;-32,042
"presidente";-304,577;-153,101;530,702;88,23
"hablar";-128,266;-68,327;15,76;223,11
"venir";-38,487;-52,738;-19,981;246,899
"grande";43,035;-6,578;0,154;-21,011
"pensar";2,789;85,507;-30,452;-25,762
"ahí";-100,439;-61,828;-1,283;300,531
"problema";372,597;-42,745;-6,621;-129,981
"después";-62,951;-8,975;-9,009;160,37
"uruguay";-116,894;-160,764;737,985;-0,012
"estado";3,337;-47,895;527,391;-197,219
"poner";-9,676;-0,383;-2,231;22,535
"poco";-4,359;-0,188;-20,202;35,406
"ya";-77,368;-28,377;-6,672;229,252
"cómo";-50,078;-63,295;30,915;85,706
"así";-21,667;-0,979;-9,571;61,342
"saber";-35,829;-4,945;-19,41;125,636
"siempre";0,492;62,155;-15,177;-18,109
"uno";-43,593;72,304;-30,047;13,201
"quedar";-10,063;-4,589;-20,145;71,338
"acá";-131,116;-63,372;0,001;320,649
"gobierno";-14,752;-98,435;811,969;-106,371
"sociedad";492,602;5,381;-104,699;-245,294
"mismo";27,64;0,507;-3,319;-18,665
"humano";0,234;882,926;-124,936;-278,288
"viejo";-25,622;1,242;-52,218;94,357
"parecer";40,803;-9,495;0,218;-16,309
"historia";21,93;-21,373;0,22;-1,147
"saber|ser";-48,609;-10,345;-0,144;96,865
"hombre";5,638;331,334;-79,825;-112,653
"pepe";-242,078;-81,419;-13,775;664,166
"hoy";-9,535;-13,21;0,005;36,387
"dejar";5,889;0;-20,147;1,324
"claro";5,041;-21,195;-5,66;12,568
"menos";87,833;-4,231;-5,966;-30,653
"seguir";-5,521;-0,022;-6,502;19,68
"día";-139,03;-56,955;-3,401;374,993
"llegar";-41,216;-13,044;0,909;73,691
"argentino";-93,518;-107,348;590,216;-0,848
"trabajar";-21,796;106,852;-18,15;-0,589
"parte";94,084;-6,146;-0,531;-46,94
"música";-7,578;0,301;-21,901;35,06
"medio";98,077;-33,449;-3,21;-11,792
"llevar";-14,577;-5,613;-0,039;34,739
"dos";-34,729;-38,258;3,961;88,686
"comprar";-54,342;161,59;-14,751;-0,199
"mirar";-14,014;-4,917;-2,903;47,308
"mujica";-195;-94,594;8,342;384,33
"cuenta";-28,31;173,013;-13,823;-8,556
"empezar";-11,95;17,87;-10,266;5,544
"tanto";38,673;0,229;-10,706;-15,407
"nunca";-6,566;4,879;-3,343;4,381
"momento";-33,03;-13,907;16,202;31,423
"cambiar";47,913;13,642;-30,487;-30,798
"gustar";-34,907;3,397;-42,439;87,802
"lado";-16,008;-3,646;-0,142;33,95
"nuevo";0,732;33,239;-2,197;-20,467
"importante";75,293;-10,057;2,526;-50,284
"américa";51,408;-92,621;269,298;-140,393
"tipo";-3,718;0,009;-14,674;23,273
"pagar";2,796;55,797;-15,796;-23,014
"aprender";-8,397;322,684;-47,652;-46,809
"plata";-1,604;78,125;-10,529;-13,266
"partido";-0,271;-30,534;298,346;-71,158
"verdad";-11,662;-7,412;-0,019;33,055
"casa";-110,491;-51,997;-16,133;381,699
"tan";42,276;0,157;-3,986;-26,394
"ejemplo";-20,349;-29,455;139,172;-0,087
"pobre";2,121;107,436;-32,103;-32,385
"pueblo";2,386;-0,45;-1,745;0,008
"cultura";436,113;-18,694;-46,864;-131,127
"terminar";-0,129;-0,159;0,446;0,026
"salir";-61,347;-37,994;0,02;162,728
"acuerdo";-16,443;-23,096;268,24;-23,726
"tratar";80,083;-5,92;-9,986;-17,981
"hijo";-23,28;14,295;-51,684;51,958
"podar|poder";85,773;22,134;-28,398;-78,255
"frente";-44,928;-39,381;700,523;-80,628
"existir";161,735;0;-21,294;-78,099
"social";338,178;-2,792;-37,669;-139,135
"andar";-25,174;6,663;-34,996;54,822
"trabajo";23,135;44,42;-45,916;-24,915
"manera";9,929;71,481;-11,116;-57,46
"llamar";-13,206;-0,96;7,969;4,691
"aquí";-87,647;-48,329;8,316;162,831
"economía";288,654;-45,116;-2,477;-95,431
"necesitar";53,9;82,009;-34,678;-103,727
"realidad";177,938;-4,038;-15,243;-69,16
"entender";74,262;-18,654;-0,003;-22,809
"hecho";-5,986;10,393;0,161;-0,396
"conocer";-31,959;-13,793;-0,152;80,554
"punto";167,603;-22,735;-7,891;-41,877
"mercado";258,44;-6,835;-15,658;-109,187
"forma";35,393;28,584;-12,358;-57,242
"tomar";19,714;-35,416;0,328;0,041
"perder";6,686;2,718;-3,273;-6,244
"joven";-47,29;89,295;-36,664;12,655
"lugar";-17,859;-16,729;-5,091;87,645
"tierra";-19,403;66,296;-29,102;2,937
"época";-1,364;-3,497;-0,876;11,94
"pedir";-52,033;-30,311;-0,386;148,73
"volver";-35,935;12,467;-6,324;23,876
"brasil";-66,131;-59,768;889,823;-80,993
"millón";-47,361;-18,534;-0,003;108,384
"sacar";-16,282;-22,849;0,58;54,461
"nbsp";-67,899;362,052;-37,062;-9,861
"único";-27,936;182,239;-2,241;-24,99
"pregunta";-32,212;0,317;-16,166;68,161
"ir|ser";-84,591;-12,501;-8,714;204,994
"nadie";30,634;-3,885;-13,908;-0,694
"leer";-60,222;-28,471;-18,674;240,29
"gracia";-79,11;-24,641;-12,007;244,184
"mujer";1,086;-0,209;-30,745;13,895
