ir;1289;725;513;1737
más;1496;749;411;889
decir;735;454;573;1630
hacer;645;447;506;1380
bueno;589;335;350;1125
cosa;779;795;218;546
mucho;678;455;199;856
eh;481;301;341;604
vida;154;1299;48;249
querer;475;323;160;678
gente;623;379;139;494
año;239;166;264;956
ver;396;231;273;727
político;839;201;196;204
mundo;910;256;96;272
dar;367;423;151;629
pasar;320;202;285;697
vivir;187;809;54;239
vez;444;261;171;450
país;365;96;439;271
crear|creer;588;215;157;242
ahora;278;151;307;481
tiempo;150;590;86;280
presidente;69;50;449;495
hablar;161;103;223;581
venir;227;110;117;576
grande;390;157;163;254
pensar;309;291;91;236
ahí;156;93;146;571
problema;527;94;115;132
después;174;144;118;484
uruguay;126;25;441;292
estado;278;83;377;86
poner;221;159;124;347
poco;239;164;94;369
ya;148;107;114;493
cómo;150;65;185;379
así;195;151;104;381
saber;160;125;81;398
siempre;235;227;82;190
uno;154;243;71;303
quedar;191;123;78;356
acá;82;57;119;464
gobierno;168;33;390;104
sociedad;506;170;20;48
mismo;290;150;102;188
humano;237;465;11;36
viejo;157;150;46;356
parecer;296;106;121;185
historia;269;87;118;216
saber|ser;137;107;115;363
hombre;237;318;26;96
pepe;25;41;77;542
hoy;172;95;112;298
dejar;234;130;67;235
claro;223;79;83;254
menos;307;105;83;148
seguir;171;124;82;266
día;58;48;86;434
llegar;117;85;110;304
argentino;70;14;307;179
trabajar;116;199;52;170
parte;291;92;91;119
música;131;106;46;235
medio;276;54;75;145
llevar;134;89;92;255
dos;104;49;106;282
comprar;67;194;44;145
mirar;128;86;75;256
mujica;11;12;106;371
cuenta;106;221;55;143
empezar;119;135;56;191
tanto;209;97;52;118
nunca;120;111;63;178
momento;91;62;112;218
cambiar;200;115;29;90
gustar;81;103;23;242
lado;103;74;73;212
nuevo;142;132;60;100
importante;220;60;85;77
américa;207;7;201;31
tipo;122;90;45;200
pagar;140;138;37;89
aprender;97;220;15;69
plata;112;148;42;99
partido;111;31;185;48
verdad;99;61;69;197
casa;31;24;39;328
tan;175;77;48;79
ejemplo;85;37;156;134
pobre;125;149;20;70
pueblo;131;69;53;127
cultura;308;42;14;23
terminar;117;73;69;131
salir;49;28;65;247
acuerdo;84;39;184;85
tratar;201;57;41;90
hijo;77;106;12;197
podar|poder;203;112;25;47
frente;59;27;256;46
existir;226;72;28;43
social;275;59;17;16
andar;70;92;19;190
trabajo;150;118;11;73
manera;144;138;38;56
llamar;78;62;78;137
aquí;29;18;79;232
economía;255;19;47;31
necesitar;175;138;18;29
realidad;224;54;31;44
entender;189;39;60;79
hecho;88;93;61;112
conocer;61;42;56;198
punto;222;34;39;61
mercado;237;46;28;21
forma;164;111;35;53
tomar;145;24;61;117
perder;123;76;42;88
joven;45;133;14;141
lugar;68;36;40;192
tierra;67;125;19;127
época;92;51;48;139
pedir;40;24;49;210
volver;51;89;37;150
brasil;32;8;250;31
millón;39;30;50;187
sacar;66;29;58;169
nbsp;16;165;5;58
único;54;156;42;63
pregunta;48;63;24;168
ir|ser;20;35;31;218
nadie;132;43;24;89
leer;26;19;19;213
gracia;14;19;22;204
mujer;95;52;12;123
cambio;154;31;53;57
allá;62;46;48;148
meter;124;28;30;105
construir;143;88;12;40
ganar;58;57;92;76
libertad;43;184;5;37
sentido;100;141;12;45
guerra;110;15;110;40
empresa;67;16;150;14
casi;64;40;77;110
latino;152;4;134;1
público;55;11;130;62
izquierda;163;25;46;30
idea;121;12;39;96
señor;24;14;87;154
camino;125;55;25;61
económico;197;16;30;13
caso;50;19;139;66
amigo;25;46;24;163
tema;21;13;140;94
humanidad;180;46;10;34
fuerte;121;30;67;55
entrar;76;34;44;111
lucha;84;102;23;36
pequeño;93;37;65;65
encontrar;83;50;29;92
último;47;15;62;135
vuelta;42;57;30;143
creer;87;144;8;17
malo;171;33;20;29
cuestión;151;54;9;26
tres;32;15;27;190
persona;36;23;32;152
además;83;46;39;93
compañero;32;33;18;168
vender;67;19;51;71
derecho;81;77;35;31
valor;124;70;18;15
europa;134;15;39;35
uruguayo;40;11;70;94
unir;43;5;162;16
luchar;90;107;12;21
distinto;108;51;23;39
buscar;65;38;13;101
todavía;61;24;27;104
crear;150;33;24;15
lograr;124;33;27;32
comer;44;27;9;132
caer;73;79;26;54
amor;7;170;5;19
difícil;94;37;21;63
civilización;122;80;1;6
aparecer;98;18;24;62
familia;40;48;5;117
preguntar;18;8;45;146
marihuana;51;8;131;15
generación;78;47;22;54
hora;26;25;20;131
propio;130;26;30;42
generar;130;29;19;27
defender;100;56;24;26
valer;17;96;36;53
vivo;23;134;6;51
futuro;111;22;27;61
traer;44;24;17;116
atrás;59;44;14;88
naturaleza;31;152;2;17
ley;48;42;106;10
tampoco;92;24;32;61
plantear;94;27;36;43
igual;84;36;28;54
campo;73;40;7;88
inventar;103;52;8;42
cantidad;90;72;18;25
sentar|sentir;36;45;40;76
ningún;82;49;31;42
gastar;33;123;3;41
mano;69;54;25;64
interés;141;21;13;10
necesidad;43;122;6;6
especie;64;90;16;31
relación;72;50;42;36
mundial;108;5;73;13
mal;67;34;27;73
posible;81;65;22;28
recurso;141;17;10;14
chino;96;5;23;69
vino;6;7;35;144
vista;156;11;6;19
fuerza;121;32;16;18
decisión;114;12;41;29
libro;17;8;6;150
término;117;26;26;21
morir;23;55;7;104
luego;48;34;59;50
erar|ser;31;15;35;93
tirar;42;41;11;87
diferencia;104;35;18;21
loco;26;36;5;108
fondo;118;32;17;28
trabajador;103;22;15;41
clase;140;8;16;23
preocupar;64;41;28;44
nacional;37;12;107;18
esperar;23;15;48;86
libre;22;120;11;22
significar;102;38;15;20
jugar;63;33;25;66
josé;1;1;38;140
tocar;11;104;21;36
palabra;17;35;17;98
dios;24;101;12;37
preciso;19;108;7;20
etcétera;91;8;14;13
sistema;120;20;19;5
auto;22;55;2;90
democracia;116;9;21;26
común;106;11;18;35
rico;108;30;12;15
militar;46;9;24;80
adentro;52;60;9;49
medida;121;13;23;16
servir;35;64;16;53
escuchar;12;13;12;129
reconocer;78;18;31;41
general;48;19;69;30
cabeza;33;47;8;83
colombia;34;10;94;22
pelear;55;65;11;30
fin;27;67;25;57
preso;28;21;13;95
imponer;126;26;7;8
mañana;12;21;10;113
crecer;106;6;14;16
ayudar;75;33;17;33
ah;14;15;21;123
transformar;86;52;14;11
enorme;76;32;23;19
causa;61;83;3;7
agua;24;15;13;97
fenómeno;101;18;13;19
mis;19;30;9;89
colectivo;105;30;6;3
