"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"2";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"3";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"4";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"5";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"6";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"7";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"8";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"9";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"10";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"11";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"12";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"13";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"14";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"15";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"16";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"17";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"18";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"19";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"20";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"21";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"22";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"23";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;36;36
"24";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"25";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"26";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"27";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"28";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"29";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"30";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"31";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"32";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"33";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"34";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"35";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"36";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"37";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"38";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"39";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"40";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"41";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"42";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"43";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;36;36
"44";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"45";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"46";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"47";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"48";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"49";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"50";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;36;36
"51";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;36;36
"52";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;36;36
"53";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"54";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"55";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;36;36
"56";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;36;36
"57";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"58";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"59";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"60";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"61";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"62";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"63";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"64";3;5;6;8;10;13;15;15;15;15;15;15;15;15;15;15;15;15;15
"65";3;5;6;8;10;13;14;17;18;20;22;24;26;28;28;28;28;28;28
"66";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"67";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
"68";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"69";3;5;6;9;9;9;9;9;9;9;9;9;9;9;30;32;35;37;38
"70";3;5;6;8;10;13;14;17;18;20;22;24;26;29;29;29;29;29;29
