"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"10831";"35127";"30.83";"****";""
" 910";"1534";" 59.32";"610.417";"mundo";"9.079979e-135"
" 839";"1440";" 58.26";"529.753";"político";"3.196557e-117"
" 506";" 744";" 68.01";"492.602";"sociedad";"3.870144e-109"
" 308";" 387";" 79.59";"436.113";"cultura";" 7.593509e-97"
" 527";" 868";" 60.71";"372.597";"problema";" 5.090563e-83"
" 275";" 367";" 74.93";"338.178";"social";" 1.591298e-75"
" 255";" 352";" 72.44";"288.654";"economía";" 9.769873e-65"
" 237";" 332";" 71.39";"258.440";"mercado";" 3.754910e-58"
" 197";" 256";" 76.95";"257.194";"económico";" 7.017567e-58"
"1496";"3545";" 42.20";"238.862";"más";" 6.965420e-54"
" 156";" 192";" 81.25";"230.091";"vista";" 5.694481e-52"
" 588";"1202";" 48.92";"190.864";"crear|creer";" 2.059372e-43"
" 141";" 182";" 77.47";"186.595";"recurso";" 1.760754e-42"
" 141";" 185";" 76.22";"179.605";"interés";" 5.911036e-41"
" 224";" 353";" 63.46";"177.938";"realidad";" 1.366842e-40"
" 140";" 187";" 74.87";"170.917";"clase";" 4.665794e-39"
" 222";" 356";" 62.36";"167.603";"punto";" 2.469690e-38"
" 180";" 270";" 66.67";"163.816";"humanidad";" 1.659541e-37"
" 226";" 369";" 61.25";"161.735";"existir";" 4.727259e-37"
" 171";" 253";" 67.59";"161.426";"malo";" 5.521576e-37"
" 114";" 144";" 79.17";"158.383";"derecha";" 2.551839e-36"
" 126";" 167";" 75.45";"156.614";"imponer";" 6.214251e-36"
" 114";" 145";" 78.62";"155.905";"cultural";" 8.880087e-36"
"  83";"  94";" 88.30";"145.936";"narcotráfico";" 1.340644e-33"
" 150";" 222";" 67.57";"141.356";"crear";" 1.344674e-32"
" 120";" 164";" 73.17";"138.482";"sistema";" 5.717317e-32"
"  93";" 115";" 80.87";"135.444";"consecuencia";" 2.639458e-31"
"  88";" 107";" 82.24";"133.005";"riqueza";" 9.017718e-31"
"  86";" 105";" 81.90";"128.800";"capitalismo";" 7.500955e-30"
" 106";" 142";" 74.65";"128.337";"crecer";" 9.469591e-30"
" 121";" 173";" 69.94";"124.683";"medida";" 5.970065e-29"
"  74";"  87";" 85.06";"120.241";"global";" 5.602573e-28"
" 105";" 144";" 72.92";"120.070";"colectivo";" 6.106086e-28"
" 163";" 264";" 61.74";"119.156";"izquierda";" 9.678768e-28"
"  70";"  81";" 86.42";"117.624";"complejo";" 2.095767e-27"
" 151";" 240";" 62.92";"116.631";"cuestión";" 3.458185e-27"
"  78";"  98";" 79.59";"109.549";"desarrollar";" 1.230000e-25"
" 116";" 172";" 67.44";"108.615";"democracia";" 1.970310e-25"
"  86";" 115";" 74.78";"104.495";"tender";" 1.576126e-24"
"  55";"  60";" 91.67";"104.291";"desigualdad";" 1.746433e-24"
"  97";" 137";" 70.80";"103.026";"ciencia";" 3.308532e-24"
" 100";" 143";" 69.93";"102.910";"drogar";" 3.507755e-24"
" 130";" 205";" 63.41";"102.636";"generar";" 4.028226e-24"
"  91";" 126";" 72.22";"101.570";"etcétera";" 6.896938e-24"
" 121";" 187";" 64.71";"101.140";"fuerza";" 8.572076e-24"
"  82";" 110";" 74.55";" 98.862";"carácter";" 2.707848e-23"
" 276";" 550";" 50.18";" 98.077";"medio";" 4.024438e-23"
"  55";"  62";" 88.71";" 97.551";"repartir";" 5.248285e-23"
"  57";"  66";" 86.36";" 95.607";"acumulación";" 1.400776e-22"
"  71";"  91";" 78.02";" 95.260";"defecto";" 1.669160e-22"
"  74";"  97";" 76.29";" 94.235";"conjunto";" 2.802251e-22"
" 291";" 593";" 49.07";" 94.084";"parte";" 3.024555e-22"
"  50";"  55";" 90.91";" 93.221";"tasa";" 4.677149e-22"
" 108";" 165";" 65.45";" 93.171";"rico";" 4.797202e-22"
" 101";" 151";" 66.89";" 92.432";"fenómeno";" 6.966904e-22"
"  52";"  59";" 88.14";" 90.991";"conservador";" 1.443520e-21"
"  81";" 112";" 72.32";" 90.682";"multiplicar";" 1.687352e-21"
" 134";" 223";" 60.09";" 90.069";"europa";" 2.300034e-21"
"  62";"  77";" 80.52";" 89.327";"tecnología";" 3.346000e-21"
"  54";"  63";" 85.71";" 89.132";"capitalista";" 3.693021e-21"
"  59";"  72";" 81.94";" 88.374";"contemporáneo";" 5.417805e-21"
" 307";" 643";" 47.74";" 87.833";"menos";" 7.122144e-21"
"  62";"  78";" 79.49";" 86.769";"formación";" 1.219703e-20"
"  47";"  52";" 90.38";" 86.597";"avance";" 1.330806e-20"
" 203";" 387";" 52.45";" 85.773";"podar|poder";" 2.018252e-20"
"  55";"  66";" 83.33";" 85.457";"enfermedad";" 2.367434e-20"
"  67";"  88";" 76.14";" 84.898";"materia";" 3.142132e-20"
" 117";" 190";" 61.58";" 84.672";"término";" 3.521931e-20"
"  69";"  93";" 74.19";" 82.203";"revolución";" 1.228236e-19"
" 118";" 195";" 60.51";" 80.990";"fondo";" 2.269096e-19"
"  68";"  92";" 73.91";" 80.268";"organizar";" 3.269633e-19"
" 201";" 389";" 51.67";" 80.083";"tratar";" 3.590188e-19"
"  55";"  68";" 80.88";" 80.022";"tendencia";" 3.701834e-19"
"  44";"  49";" 89.80";" 79.988";"concentración";" 3.766218e-19"
" 106";" 170";" 62.35";" 79.576";"común";" 4.640112e-19"
"  66";"  89";" 74.16";" 78.527";"construcción";" 7.892640e-19"
"  96";" 150";" 64.00";" 77.700";"arreglar";" 1.199616e-18"
"  62";"  82";" 75.61";" 77.267";"herramienta";" 1.493041e-18"
"  51";"  62";" 82.26";" 77.015";"ganancia";" 1.696946e-18"
"  42";"  47";" 89.36";" 75.593";"delito";" 3.485341e-18"
"  49";"  59";" 83.05";" 75.559";"tecnológico";" 3.546885e-18"
" 220";" 442";" 49.77";" 75.293";"importante";" 4.057143e-18"
" 122";" 209";" 58.37";" 74.770";"civilización";" 5.289869e-18"
"  56";"  72";" 77.78";" 74.552";"crecimiento";" 5.905028e-18"
" 189";" 367";" 51.50";" 74.262";"entender";" 6.839486e-18"
" 130";" 228";" 57.02";" 73.774";"propio";" 8.758658e-18"
" 124";" 216";" 57.41";" 71.963";"lograr";" 2.192327e-17"
"  57";"  75";" 76.00";" 71.894";"aumentar";" 2.270322e-17"
"  59";"  79";" 74.68";" 71.387";"naturalmente";" 2.936474e-17"
"  48";"  59";" 81.36";" 70.733";"solución";" 4.089402e-17"
"  44";"  52";" 84.62";" 70.630";"masa";" 4.308082e-17"
"  46";"  56";" 82.14";" 69.238";"científico";" 8.725094e-17"
" 114";" 196";" 58.16";" 69.028";"decisión";" 9.706853e-17"
"  52";"  68";" 76.47";" 66.536";"peligro";" 3.435056e-16"
"  57";"  78";" 73.08";" 65.411";"comercio";" 6.080129e-16"
"  40";"  47";" 85.11";" 65.001";"conducta";" 7.486826e-16"
"  64";"  92";" 69.57";" 64.883";"desarrollo";" 7.947557e-16"
"  34";"  37";" 91.89";" 64.748";"globalización";" 8.512979e-16"
"  93";" 153";" 60.78";" 64.636";"visión";" 9.010003e-16"
"  46";"  58";" 79.31";" 64.016";"grado";" 1.234251e-15"
"  32";"  34";" 94.12";" 63.909";"alternativa";" 1.302859e-15"
" 104";" 178";" 58.43";" 63.872";"diferencia";" 1.328044e-15"
" 154";" 295";" 52.20";" 63.702";"cambio";" 1.447217e-15"
"  57";"  79";" 72.15";" 63.382";"enfrentar";" 1.702951e-15"
" 152";" 291";" 52.23";" 63.009";"latino";" 2.057151e-15"
" 102";" 175";" 58.29";" 62.148";"significar";" 3.185215e-15"
"  72";" 110";" 65.45";" 62.016";"consumo";" 3.406314e-15"
"  68";" 102";" 66.67";" 61.589";"precio";" 4.231437e-15"
"  58";"  82";" 70.73";" 61.349";"continente";" 4.780445e-15"
"  64";"  94";" 68.09";" 61.327";"inteligencia";" 4.833732e-15"
"  60";"  86";" 69.77";" 61.276";"corriente";" 4.960640e-15"
"  83";" 134";" 61.94";" 61.030";"contradicción";" 5.620576e-15"
"  29";"  30";" 96.67";" 61.018";"tolerancia";" 5.656239e-15"
"  42";"  52";" 80.77";" 60.890";"dirección";" 6.036930e-15"
" 124";" 227";" 54.63";" 60.642";"valor";" 6.846544e-15"
"  70";" 108";" 64.81";" 58.656";"dificultad";" 1.878036e-14"
" 103";" 181";" 56.91";" 57.991";"trabajador";" 2.633692e-14"
"  81";" 132";" 61.36";" 57.908";"pobreza";" 2.747186e-14"
"  71";" 111";" 63.96";" 57.309";"conocimiento";" 3.724519e-14"
"  39";"  48";" 81.25";" 57.287";"digital";" 3.767003e-14"
"  78";" 126";" 61.90";" 57.242";"internacional";" 3.852590e-14"
"  29";"  31";" 93.55";" 57.222";"mejora";" 3.893551e-14"
"  60";"  89";" 67.42";" 55.989";"seguridad";" 7.287609e-14"
"  33";"  38";" 86.84";" 55.955";"subliminal";" 7.415899e-14"
"  88";" 149";" 59.06";" 55.902";"crisis";" 7.617479e-14"
"  56";"  81";" 69.14";" 55.848";"avanzar";" 7.829108e-14"
"  37";"  45";" 82.22";" 55.793";"clandestino";" 8.052648e-14"
"  39";"  49";" 79.59";" 54.698";"dominar";" 1.405356e-13"
"  62";"  94";" 65.96";" 54.522";"integración";" 1.537466e-13"
"  49";"  68";" 72.06";" 54.294";"costo";" 1.726440e-13"
" 175";" 360";" 48.61";" 53.900";"necesitar";" 2.109981e-13"
"  36";"  44";" 81.82";" 53.697";"mecanismo";" 2.339267e-13"
"  85";" 145";" 58.62";" 52.714";"capital";" 3.859233e-13"
"  38";"  48";" 79.17";" 52.650";"promedio";" 3.986097e-13"
"  38";"  48";" 79.17";" 52.650";"consumista";" 3.986097e-13"
" 143";" 283";" 50.53";" 51.897";"construir";" 5.848586e-13"
"  31";"  36";" 86.11";" 51.632";"reducir";" 6.693760e-13"
" 108";" 199";" 54.27";" 51.549";"mundial";" 6.982184e-13"
" 207";" 446";" 46.41";" 51.408";"américa";" 7.504943e-13"
"  32";"  38";" 84.21";" 50.820";"industrial";" 1.012299e-12"
"  49";"  70";" 70.00";" 50.450";"distribución";" 1.222098e-12"
"  61";"  95";" 64.21";" 49.758";"desafío";" 1.739046e-12"
"  89";" 157";" 56.69";" 49.429";"histórico";" 2.056853e-12"
"  42";"  57";" 73.68";" 49.155";"plazo";" 2.365069e-12"
"  35";"  44";" 79.55";" 49.016";"débil";" 2.538373e-12"
"  55";"  83";" 66.27";" 48.973";"respetar";" 2.595105e-12"
"  45";"  63";" 71.43";" 48.768";"asegurar";" 2.880442e-12"
"  45";"  63";" 71.43";" 48.768";"inteligente";" 2.880442e-12"
"  31";"  37";" 83.78";" 48.693";"porquería";" 2.992847e-12"
"  36";"  46";" 78.26";" 48.580";"inglés";" 3.170827e-12"
"  78";" 133";" 58.65";" 48.425";"mejorar";" 3.432194e-12"
"  25";"  27";" 92.59";" 48.325";"representativo";" 3.610823e-12"
"  25";"  27";" 92.59";" 48.325";"reparto";" 3.610823e-12"
" 200";" 434";" 46.08";" 47.913";"cambiar";" 4.454624e-12"
"  38";"  50";" 76.00";" 47.895";"imperio";" 4.495725e-12"
"  40";"  54";" 74.07";" 47.415";"identificar";" 5.743768e-12"
"  54";"  82";" 65.85";" 47.265";"intelectual";" 6.202352e-12"
"  21";"  21";"100.00";" 47.135";"distribuir";" 6.625551e-12"
"  48";"  70";" 68.57";" 46.837";"batalla";" 7.713228e-12"
"  37";"  49";" 75.51";" 45.924";"evolución";" 1.229492e-11"
"  55";"  85";" 64.71";" 45.839";"salario";" 1.283977e-11"
"  54";"  83";" 65.06";" 45.699";"comunicación";" 1.378913e-11"
"  59";"  94";" 62.77";" 45.064";"brutal";" 1.907364e-11"
"  44";"  63";" 69.84";" 45.029";"grave";" 1.941226e-11"
"  33";"  42";" 78.57";" 44.933";"educar";" 2.038566e-11"
"  36";"  48";" 75.00";" 43.964";"formidable";" 3.345383e-11"
"  26";"  30";" 86.67";" 43.888";"institucional";" 3.476302e-11"
"  39";"  54";" 72.22";" 43.441";"absoluto";" 4.369822e-11"
" 390";" 964";" 40.46";" 43.035";"grande";" 5.375856e-11"
"  24";"  27";" 88.89";" 42.703";"transnacionales";" 6.372018e-11"
"  24";"  27";" 88.89";" 42.703";"negativo";" 6.372018e-11"
" 623";"1635";" 38.10";" 42.499";"gente";" 7.070479e-11"
" 175";" 379";" 46.17";" 42.276";"tan";" 7.924474e-11"
"  58";"  94";" 61.70";" 42.111";"resolver";" 8.623617e-11"
"  50";"  77";" 64.94";" 42.079";"planeta";" 8.767118e-11"
"  35";"  47";" 74.47";" 42.016";"factor";" 9.053627e-11"
"  29";"  36";" 80.56";" 41.775";"relativo";" 1.023918e-10"
"  29";"  36";" 80.56";" 41.775";"medir";" 1.023918e-10"
"  37";"  51";" 72.55";" 41.674";"aplicar";" 1.078166e-10"
"  22";"  24";" 91.67";" 41.674";"frecuentemente";" 1.078452e-10"
"  20";"  21";" 95.24";" 40.868";"daño";" 1.628376e-10"
" 296";" 708";" 41.81";" 40.803";"parecer";" 1.683837e-10"
