"";"classe 1";"classe 2";"classe 3";"classe 4"
"ir";1;1;1;0
"más";0;0,011;1;1
"decir";1;1;0,46;0
"hacer";1;1;0,401;0
"bueno";1;1;1;0
"cosa";0,007;0;1;1
"mucho";0,873;0,119;1;0
"eh";1;1;0;0,109
"vida";1;0;1;1
"querer";1;0,811;1;0
"gente";0;0;1;1
"año";1;1;1;0
"ver";1;1;0,71;0
"político";0;1;1;1
"mundo";0;1;1;1
"dar";1;0;1;0
"pasar";1;1;0,007;0
"vivir";1;0;1;1
"vez";0,033;0,875;1;0,564
"país";0,8;1;0;1
"crear|creer";0;1;1;1
"ahora";1;1;0;0
"tiempo";1;0;1;1
"presidente";1;1;0;0
"hablar";1;1;0;0
"venir";1;1;1;0
"grande";0;1;0,694;1
"pensar";0,095;0;1;1
"ahí";1;1;1;0
"problema";0;1;1;1
"después";1;1;1;0
"uruguay";1;1;0;1
"estado";0,068;1;0;1
"poner";1;1;1;0
"poco";1;1;1;0
"ya";1;1;1;0
"cómo";1;1;0;0
"así";1;1;1;0
"saber";1;1;1;0
"siempre";0,483;0;1;1
"uno";1;0;1;0
"quedar";1;1;1;0
"acá";1;1;0,979;0
"gobierno";1;1;0;1
"sociedad";0;0,02;1;1
"mismo";0;0,477;1;1
"humano";0,628;0;1;1
"viejo";1;0,265;1;0
"parecer";0;1;0,64;1
"historia";0;1;0,639;1
"saber|ser";1;1;1;0
"hombre";0,018;0;1;1
"pepe";1;1;1;0
"hoy";1;1;0,945;0
"dejar";0,015;0,998;1;0,25
"claro";0,025;1;1;0
"menos";0;1;1;1
"seguir";1;1;1;0
"día";1;1;1;0
"llegar";1;1;0,34;0
"argentino";1;1;0;1
"trabajar";1;0;1;1
"parte";0;1;1;1
"música";1;0,583;1;0
"medio";0;1;1;1
"llevar";1;1;1;0
"dos";1;1;0,047;0
"comprar";1;0;1;1
"mirar";1;1;1;0
"mujica";1;1;0,004;0
"cuenta";1;0;1;1
"empezar";1;0;1;0,019
"tanto";0;0,632;1;1
"nunca";1;0,027;1;0,036
"momento";1;1;0;0
"cambiar";0;0;1;1
"gustar";1;0,065;1;0
"lado";1;1;1;0
"nuevo";0,392;0;1;1
"importante";0;1;0,112;1
"américa";0;1;0;1
"tipo";1;0,923;1;0
"pagar";0,095;0;1;1
"aprender";1;0;1;1
"plata";1;0;1;1
"partido";1;1;0;1
"verdad";1;1;1;0
"casa";1;1;1;0
"tan";0;0,692;1;1
"ejemplo";1;1;0;1
"pobre";0,145;0;1;1
"pueblo";0,122;1;1;0,928
"cultura";0;1;1;1
"terminar";1;1;0,504;0,871
"salir";1;1;0,888;0
"acuerdo";1;1;0;1
"tratar";0;1;1;1
"hijo";1;0;1;0
"podar|poder";0;0;1;1
"frente";1;1;0;1
"existir";0;1;1;1
"social";0;1;1;1
"andar";1;0,01;1;0
"trabajo";0;0;1;1
"manera";0,002;0;1;1
"llamar";1;1;0,005;0,03
"aquí";1;1;0,004;0
"economía";0;1;1;1
"necesitar";0;0;1;1
"realidad";0;1;1;1
"entender";0;1;1;1
"hecho";1;0,001;0,689;1
"conocer";1;1;1;0
"punto";0;1;1;1
"mercado";0;1;1;1
"forma";0;0;1;1
"tomar";0;1;0,567;0,839
"perder";0,01;0,099;1;1
"joven";1;0;1;0
"lugar";1;1;1;0
"tierra";1;0;1;0,087
"época";1;1;1;0,001
"pedir";1;1;1;0
"volver";1;0;1;0
"brasil";1;1;0;1
"millón";1;1;1;0
"sacar";1;1;0,446;0
"nbsp";1;0;1;1
"único";1;0;1;1
"pregunta";1;0,573;1;0
"ir|ser";1;1;1;0
"nadie";0;1;1;1
"leer";1;1;1;0
"gracia";1;1;1;0
"mujer";0,297;1;1;0
"cambio";0;1;0,479;1
"allá";1;1;1;0
"meter";0;1;1;0,222
"construir";0;0;1;1
"ganar";1;0,789;0;1
"libertad";1;0;1;1
"sentido";0,307;0;1;1
"guerra";0,001;1;0;1
"empresa";1;1;0;1
"casi";1;1;0;0,095
"latino";0;1;0;1
"público";1;1;0;1
"izquierda";0;1;0,667;1
"idea";0;1;1;0,361
"señor";1;1;0;0
"camino";0;0,631;1;1
"económico";0;1;1;1
"caso";1;1;0;1
"amigo";1;1;1;0
"tema";1;1;0;0,514
"humanidad";0;1;1;1
"fuerte";0;1;0;1
"entrar";1;1;0,945;0,003
"lucha";0,24;0;1;1
"pequeño";0,084;1;0;1
"encontrar";0,523;0,945;1;0,306
"último";1;1;0,001;0
"vuelta";1;0,547;1;0
"creer";0,273;0;1;1
"malo";0;1;1;1
"cuestión";0;0,242;1;1
"tres";1;1;1;0
"persona";1;1;1;0
"además";0,734;1;1;0,403
"compañero";1;1;1;0
"vender";0,666;1;0,002;0,775
"derecho";0,083;0;1;1
"valor";0;0;1;1
"europa";0;1;0,673;1
"uruguayo";1;1;0;0,001
"unir";1;1;0;1
"luchar";0,006;0;1;1
"distinto";0;0,18;1;1
"buscar";1;1;1;0
"todavía";1;1;1;0
"crear";0;1;1;1
"lograr";0;1;1;1
"comer";1;1;1;0
"caer";0,834;0;1;1
"amor";1;0;1;1
"difícil";0;1;1;1
"civilización";0;0;1;1
"aparecer";0;1;1;1
"familia";1;0,22;1;0
"preguntar";1;1;0,087;0
"marihuana";1;1;0;1
"generación";0,014;0,165;1;1
"hora";1;1;1;0
"propio";0;1;1;1
"generar";0;1;1;1
"defender";0;0,005;1;1
"valer";1;0;0,597;1
"vivo";1;0;1;1
"futuro";0;1;1;1
"traer";1;1;1;0
"atrás";1;0,48;1;0,003
"naturaleza";1;0;1;1
"ley";1;0,751;0;1
"tampoco";0;1;1;1
"plantear";0;1;0,552;1
"igual";0,001;1;1;1
"campo";0,182;1;1;0,005
"inventar";0;0,034;1;1
"cantidad";0;0;1;1
"sentar|sentir";1;0,237;0,143;0,108
"ningún";0,004;0,103;1;1
"gastar";1;0;1;1
"mano";0,588;0,028;1;1
"interés";0;1;1;1
"necesidad";1;0;1;1
"especie";0,757;0;1;1
"relación";0,113;0,05;0,081;1
"mundial";0;1;0;1
"mal";0,442;1;1;0,347
"posible";0,001;0;1;1
"recurso";0;1;1;1
"chino";0;1;1;0,451
"vino";1;1;0,504;0
"vista";0;1;1;1
"fuerza";0;1;1;1
"decisión";0;1;0,09;1
"libro";1;1;1;0
"término";0;1;1;1
"morir";1;0,001;1;0
"luego";1;1;0;1
"erar|ser";1;1;0,191;0
"tirar";1;0,286;1;0
"diferencia";0;0,96;1;1
"loco";1;0,724;1;0
"fondo";0;1;1;1
"trabajador";0;1;1;1
"clase";0;1;1;1
"preocupar";0,124;0,219;1;1
"nacional";1;1;0;1
"esperar";1;1;0;0
"libre";1;0;1;1
"significar";0;0,462;1;1
"jugar";0,396;1;1;0,543
"josé";1;1;0,091;0
"tocar";1;0;1;1
"palabra";1;0,637;1;0
"dios";1;0;1;1
"preciso";1;0;1;1
"etcétera";0;1;1;1
"sistema";0;1;1;1
"auto";1;0;1;0
"democracia";0;1;1;1
"común";0;1;1;1
"rico";0;1;1;1
"militar";1;1;1;0
"adentro";1;0;1;1
"medida";0;1;1;1
"servir";1;0;1;1
"escuchar";1;1;1;0
"reconocer";0;1;0,482;1
"general";1;1;0;1
"cabeza";1;0,008;1;0
"colombia";1;1;0;1
"pelear";0,359;0;1;1
"fin";1;0;1;1
"preso";1;1;1;0
"imponer";0;1;1;1
"mañana";1;1;1;0
"crecer";0;1;1;1
"ayudar";0;0,663;1;1
"ah";1;1;1;0
"transformar";0;0;1;1
"enorme";0;0,573;1;1
"causa";0,018;0;1;1
"agua";1;1;1;0
"fenómeno";0;1;1;1
"mis";1;0,784;1;0
"colectivo";0;0,689;1;1
"animal";1;0;1;1
"visión";0;1;1;1
"crisis";0;1;0,02;1
"recibir";1;1;0,394;0
"discutir";0;1;0,796;1
"ver|vestir";1;1;1;0
"derecha";0;1;1;1
"usar";1;0;1;1
"seguramente";0,027;1;0,629;1
"proceso";0;1;0,239;1
"madre";1;1;1;0
"capital";0;1;0,973;1
"montón";0,373;1;1;0,01
"producir";0;1;0,063;1
"histórico";0;1;0,078;1
"drogar";0;1;0,913;1
"papel";0,009;0,397;1;1
"dónde";1;1;1;0
"chico";1;1;1;0
"razón";0;0;1;1
"discurso";1;1;0,001;0
"lula";1;1;0;1
"inversión";0,834;1;0;1
"arreglar";0;1;1;1
"república";1;1;0;1
"etapa";1;0;1;1
"situación";0,006;1;0;1
"universidad";0;1;1;0,782
"ciencia";0;1;1;1
"cumplir";0,406;0,411;1;0,203
"venezuela";1;1;0;1
"olvidar";0,093;0,688;1;1
"cultural";0;1;1;1
"proyecto";1;1;0;1
"mantener";0,008;0,509;1;1
"falta";1;0,504;1;0,07
"favor";0;1;0,575;1
"pesar";0;0;1;1
"mover";0,002;1;1;1
"mil";1;1;1;0
"levantar";1;0;1;1
"pobreza";0;0,351;1;1
"muchacho";1;0;1;0
"allí";1;1;0,676;0,063
"mandar";1;1;1;0
"adelante";1;0;1;0,445
"abajo";1;1;1;0
"mes";1;1;0,247;0
"respuesta";0,033;0,111;1;1
"amplio";1;1;0;1
"suerte";1;0,961;1;0
"elegir";1;1;0,489;0
"equivocar";1;0;1;1
"capaz";1;0;1;1
"recordar";1;0,283;1;0
"mejorar";0;0,185;1;1
"latinoamericano";0,003;1;0;1
"decidir";1;1;0,155;0,074
"noche";1;1;1;0
"nacer";1;0;1;1
"negocio";0;0,021;1;1
"segundo";1;1;0;1
"demasiado";0;0,106;1;1
"dedicar";1;0,028;1;0
"blanco";1;1;0;1
"condición";0;0,311;1;1
"internacional";0;1;0,08;1
"error";0,011;0;1;1
"cárcel";1;1;1;0
"ciudad";1;1;1;0
"afuera";1;1;1;0
"seguro";1;1;1;0
"contradicción";0;0,853;1;1
"agarrar";1;1;1;0
"sector";0;1;0;1
"río";1;1;0,004;0,011
"manejar";0;1;1;1
"puerto";1;1;0;1
"mayoría";0,008;0;1;1
"funcionar";1;1;0,047;0,013
"final";1;1;1;0
"felicidad";1;0;1;1
"contar";1;1;1;0
"capacidad";0;0,891;1;1
"salud";0;1;0,004;1
"soledad";1;0;1;1
"padre";1;1;1;0
"feliz";1;0;1;1
"sentir";1;0;1;0,106
"permitir";1;0,683;0,005;1
"caminar";1;1;1;0
"importar";0,394;1;1;0,14
"calle";1;1;0,065;0
"campaña";1;1;0;0
"tender";0;1;1;1
"españa";1;1;0;0
"banco";1;1;0;1
"escuela";1;1;1;0
"montevideo";1;1;0,217;0
"dólar";1;1;1;0
"consecuencia";0;1;1;1
"programa";1;1;1;0
"votar";1;1;0;0,725
"cuidar";1;0;1;1
"multiplicar";0;0,219;1;1
"escribir";1;1;1;0
"atender";0,051;1;0,189;1
"ministro";1;1;0;1
"interior";1;1;0,017;0,084
"juntar";0;1;1;1
"complicado";1;0,348;0,002;1
"cuatro";1;1;0,325;0
"capitalismo";0;1;1;1
"paz";0;1;0;1
"elección";1;1;0;1
"conocimiento";0;0,2;1;1
"sueño";0,004;0;1;1
"región";0,399;1;0;1
"peso";0,011;1;0,784;0,177
"oportunidad";1;1;1;0,009
"gobernar";0;1;0;1
"matar";1;1;1;0
"nivel";0;1;0;1
"picar";1;1;0,065;0
"carácter";0;1;1;1
"nombre";1;1;0,009;0
"riqueza";0;1;1;1
"dificultad";0;1;1;1
"dictadura";0,001;1;0;1
"junto";1;1;0,128;0
"cara";0;1;1;1
"duda";1;1;1;0
"culpar";0,048;0;1;1
"movimiento";1;1;0;1
"intentar";0;0,121;1;1
"abrir";1;1;0,036;0
"lleno";1;0;1;1
"sencillo";0,001;0,015;1;1
"precio";0;1;1;1
"conseguir";1;1;1;0
"personal";1;0;1;1
"darle";1;0;1;1
"cuánto";1;1;1;0
"edad";1;0;1;0,001
"vengar|venir";1;1;1;0
"pensamiento";0;0,09;1;1
"negociar";0;1;0,018;1
"narcotráfico";0;1;1;1
"odiar";1;0;1;1
"muerte";1;0;1;1
"cuesta";0,084;1;1;0,006
"asunto";1;1;0;1
"responsabilidad";0,207;0,002;1;1
"abuelo";1;1;1;0
"subir";1;1;1;0
"romper";1;0;1;1
"paso";0,8;1;1;0,022
"experiencia";1;0,306;0,003;1
"acompañar";1;1;0,561;0
"consumo";0;1;1;1
"alcanzar";0,073;0;1;1
"educación";0,003;1;1;0,197
"década";1;1;0;1
"estudiar";1;1;0,99;0
"agradecer";1;1;1;0
"hermoso";1;0;1;1
"defecto";0;1;1;1
"nación";0;1;0;1
"justo";0,011;1;1;1
"invertir";0,025;1;0;1
"estilo";0,207;1;1;0,119
"brutal";0;1;1;1
"entrever";1;1;0,097;0
"material";0;0;1;1
"embargo";0,078;0,142;1;1
"conjunto";0;1;1;1
"pena";1;0;1;1
"vendar|vender";0,108;1;0,001;1
"explicar";0,645;1;0,097;1
"seguridad";0;1;1;1
"resolver";0;1;0,88;1
"presidencia";1;1;0;0,458
"inteligencia";0;1;1;1
"comida";0,729;1;1;0
"contrario";0;0,012;1;1
"barrio";1;1;1;0
"probablemente";0,001;0,004;1;1
"importancia";0;1;1;1
"vi";1;1;1;0
"niño";1;1;1;0
"desarrollar";0;1;1;1
"cobrar";0,029;0,004;1;1
"revolución";0;1;1;1
"imaginar";1;1;0,053;0
"salario";0;1;1;1
"inevitable";0,004;0;1;1
"duro";1;0;1;1
"construcción";0;1;1;1
"acabar";1;1;0;0,022
"méxico";1;1;0;1
"dolor";1;0;1;1
"central";0;1;0;1
"aire";1;1;0;0,004
"senador";1;1;0;0,002
"organizar";0;1;1;1
"abierto";1;1;0,077;0,104
"puerta";1;1;1;0
"papá";1;1;0,507;0
"don";1;1;0,166;0
"profundo";0;0,4;1;1
"ocurrir";1;1;0,031;0
"privado";0;1;0;1
"global";0;1;1;1
"herramienta";0;1;1;1
"fácil";0;0,034;1;1
"esperanza";1;0;1;1
"avanzar";0;1;1;1
"cerca";1;1;1;0
"salar";1;1;1;0,021
"desarrollo";0;0,59;1;1
"desafío";0;1;1;1
"centro";0;1;0,068;1
"opinión";0,372;1;0;1
"intelectual";0;1;1;1
"integración";0;1;0,324;1
"definitivo";1;0;1;1
"candidato";1;1;0;0,001
"energía";0;1;0,955;1
"continente";0;1;0,453;1
"recuerdo";1;1;1;0
"conversar";1;1;1;0
"resultado";0;1;0,001;1
"producción";0,127;1;0;1
"minuto";1;1;1;0
"cargo";1;1;0;1
"pelota";1;1;1;0
"lejos";1;0;1;0,364
"grupo";1;0;1;1
"encuentro";1;1;1;0,001
"raro";1;1;1;0
"fútbol";1;1;1;0
"enfrentar";0;1;1;1
"desaparecer";0,017;0,038;1;1
"alto";0;1;0,014;1
"enseñanza";0;1;1;1
"depender";1;0;1;1
"ventaja";0;0,148;1;1
"vaca";1;1;1;0
"moderno";0;0;1;1
"durar";1;0;1;1
"materia";0;1;1;1
"ojo";1;0;1;1
"margen";0,674;0;1;1
"maravilloso";0,469;0;1;1
"definir";0,011;0,699;1;1
"supuesto";1;0,001;1;1
"igualdad";0;0,441;1;1
"convencer";0,149;0,204;1;1
"concepto";0;0,001;1;1
"santo";1;1;1;0
"conciencia";1;0;1;1
"acordar";1;1;0,391;0,003
"respetar";0;1;1;1
"europeo";0;1;0;1
"corriente";0;1;1;1
"real";0,001;1;1;1
"pertenecer";0;0;1;1
"considerar";1;0,008;0;1
"fundamental";0,005;0;1;1
"formación";0;1;1;1
"vecino";1;1;1;0
"deuda|deudo";0;1;0,877;1
"comunicación";0;1;1;1
"vasco";1;1;1;0
"parar";1;1;1;0
"corto";0,001;0,5;1;1
"bajar";0,294;1;1;0,292
"religión";0,626;0;1;1
"juventud";1;0;1;1
"siglo";1;1;0;0,515
"carne";0,019;0,463;1;1
"realmente";1;1;1;0
"posibilidad";1;1;0;1
"modelo";0,003;1;0,009;1
"consejo";1;1;1;0,004
"voluntad";0;1;1;1
"utilizar";0,02;0,577;1;1
"tradición";0,421;1;0,024;1
"organización";0,001;1;1;1
"lucir";1;1;1;0
"foto";1;1;1;0
"filosofía";0;0,152;1;1
"disparate";1;0,002;1;0,003
"diferente";0,028;1;0,202;1
"naturalmente";0;1;1;1
"enfermedad";0;1;1;1
"respeto";0,375;0;1;1
"parlamento";1;1;0;0,274
"milagro";1;0;1;1
"esfuerzo";0;0,577;1;1
"dale";1;0;1;1
"complejo";0;1;1;1
"juego";1;1;0,759;0,036
"fuego";1;0;1;1
"definición";1;0;1;1
"comunidad";1;0;1;1
"cinco";1;1;0,223;0
"rato";1;1;0,507;0
"semana";1;1;0,039;0
"comercio";0;1;1;1
"próximo";1;1;0;0,541
"principio";0,766;1;1;0,112
"preocupación";0;1;0,759;1
"planeta";0;0,086;1;1
"golpe";1;1;0;1
"distribución";0;1;0,036;1
"árbol";1;1;1;0
"valle";1;1;0;1
"hermano";1;1;1;0
"est";1;1;1;0
"sufrir";0,376;0,046;1;1
"partir";0,088;1;0,72;0,22
"compartir";0,523;1;1;0,099
"aceptar";0;1;1;1
"rey";1;1;1;0
"discusión";1;1;1;0,015
"cuerpo";1;0;1;1
"superar";0;1;1;1
"precisamos";0,426;0;1;1
"individuo";0,215;0;1;1
"correr";1;0,604;1;0,152
"comprometer";0,85;0;1;1
"afecto";1;0;1;1
"totalmente";0,116;1;0,917;1
"respecto";0,756;1;0;1
"permanente";1;0;1;1
"obra";1;1;0,114;0,152
"fundar";1;1;0;0,005
"electoral";1;1;0;0
"consumir";0,291;0,123;0,457;1
"aumentar";0;1;1;1
"arma";0;1;1;1
"tecnología";0;1;1;1
"referir";1;1;0;1
"hambre";0,079;1;1;0,982
"mensaje";1;1;1;0,002
"dinero";1;0,107;0;1
"conflicto";0,01;0,111;0,703;1
"principal";1;1;0;1
"par";1;1;0,799;0
"ministerio";1;1;0;0,983
"flor";1;1;1;0
"número";1;1;0,001;0,07
"dirigente";1;1;0,1;0,649
"costo";0;1;1;1
"formar";0,002;1;1;0,719
"ayer";1;1;0;0
"perfecto";0,486;0;1;1
"entero";0;1;1;1
"crecimiento";0;1;1;1
"corrupción";0;1;1;1
"sur";1;1;0;0,255
"contemporáneo";0;1;1;1
"precisar";0;0,048;1;1
"criticar";0,005;1;0,873;1
"colocar";1;0,553;0,325;0,135
"capitalista";0;1;1;1
"tendencia";0;1;1;1
"soñar";1;0;1;1
"humilde";0,161;1;1;0,049
"altura";1;0;1;1
"pp";1;1;1;0
"peligro";0;1;1;1
"oposición";1;1;0;1
"justicia";0,186;1;0,789;1
"batalla";0;1;1;1
"tarde";1;1;1;0
"interno";0,002;1;0,001;1
"aventura";1;0;1;1
"posición";0,001;1;0;1
"negro";0;1;1;1
"mesa";1;1;0,115;0,03
"faltar";1;1;1;0
"actual";0;1;0;1
"marcha";0;1;1;1
"natural";0;0,077;1;1
"lío";1;1;0,115;0,03
"representar";0,016;1;0;1
"personaje";1;1;0;0,008
"fijar";1;1;0;1
"colonia";1;1;0;0,004
"triunfo";1;0;1;1
"sólo";0,425;0,596;0;1
"población";1;1;0;1
"miedo";0,175;1;1;0,346
"circunstancia";1;0,001;1;1
"alma";1;0;1;1
"permanentemente";0,007;0;1;1
"carrera";1;1;1;0,002
"campesino";1;1;0,131;0,505
"acumulación";0;1;1;1
"triunfar";1;0;1;1
"servicio";1;0,553;1;0,002
"progreso";0;0;1;1
"ganancia";0;1;1;1
"repartir";0;1;1;1
"presentar";1;1;0,055;0,103
"pegar";1;1;1;0
"mitad";1;1;0,008;0,001
"imposible";0;1;1;1
"cultivar";1;0;1;1
"costar";1;1;1;0
"consciente";0,426;0;1;1
"interesante";0,667;1;1;0,577
"conservador";0;1;1;1
"compromiso";1;0;1;1
"zona";1;1;0,789;0
"máquina";0,043;1;1;0,06
"exactamente";1;1;0;0,164
"corbata";1;1;1;0
"reciente|recién";1;1;0,961;0
"gigantesco";0;1;1;1
"asegurar";0;1;1;1
"atención";1;1;0;1
"teléfono";1;1;1;0
"resultar";1;1;1;0,002
"película";1;1;1;0
"pasión";1;0;1;1
"límite";0,539;0;1;1
"gusto";1;1;1;0
"solución";0;1;1;1
"presente";1;1;0,098;0,046
"muerto";1;1;0;1
"cometer";0,036;0;1;1
"alcohol";1;1;0;1
"tecnológico";0;1;1;1
"siquiera";0,132;1;0,703;0,285
"inteligente";0;1;1;1
"grave";0;1;1;1
"dormir";1;1;1;0
"televisión";1;1;1;0
"salida";1;1;0;1
"solidaridad";0,009;0;1;1
"resto";0,028;1;0;1
"mencionar";1;1;0;1
"echar";1;0;1;1
"afectar";0,015;1;0,257;1
"lindo";1;0;1;0
"invitar";1;1;0,004;0
"tus";1;0;1;1
"terrible";0,003;1;1;1
"sentimiento";0,027;0,032;1;1
"presión";0,051;1;0;1
"origen";1;1;1;0
"escapar";0,741;0;1;1
"determinado";1;0,169;1;0,908
"aún";0;1;1;1
"utopía";1;0;1;1
"señora";1;1;1;0
"luz";1;1;1;0,002
"independencia";0,082;1;0;1
"rumbo";1;0;1;1
"petróleo";0,005;1;0,086;1
"negociación";0,03;1;0;1
"italiano";1;1;1;0
"chile";1;1;0;1
"bandera";1;0;1;1
"fiscal";0,087;1;0;1
"espacio";1;1;1;0
"curioso";0,375;1;0;1
"cerrar";1;1;0;0,763
"reserva";1;1;0;1
"regalar";1;1;1;0
"producto";0;1;0,87;1
"obvio";0,076;0,728;1;1
"barra";1;1;1;0
"acumular";0,241;0;1;1
"revés";1;1;0;1
"médico";1;1;1;0,001
"imagen";1;0;1;1
"frontera";0,013;1;0,001;1
"fallar";0;1;1;1
"enseñar";1;0,001;1;0,495
"demostrar";0,008;0,005;1;1
"arrancar";1;0,013;1;0,984
"actitud";1;0;0,001;1
"siete";1;1;0,063;0
"ofrecer";1;1;0,917;0,004
"obligación";1;0;1;1
"guardar";1;1;1;0
"congreso";1;1;0;1
"antiguo";1;0;1;0,983
"través";1;1;0;1
"iglesia";0;1;1;1
"figura";1;1;0;1
"español";1;1;1;0
"ciento";1;1;0,004;0,505
"tasa";0;1;1;1
"masa";0;1;1;1
"grado";0;1;1;1
"dirección";0;1;1;1
"absoluto";0;1;1;1
"diputado";1;1;0,129;0
"desigualdad";0;1;1;1
"colorar";1;1;0;1
"científico";0;1;1;1
"transmitir";1;0;1;1
"sembrar";0,002;0,004;1;1
"periodo";1;1;0;1
"establecer";0;1;1;1
"bolsillo|bolso";0,001;0,357;1;1
"voto";1;1;0;0,035
"surgir";0,99;1;0,03;1
"superior";0;0,087;1;1
"rápido";0;1;1;1
"reunión";1;1;0;1
"plazo";0;1;1;1
"especial";1;1;1;0
"americano";0,001;1;0,068;1
"industriar";0;1;1;1
"gasto";1;0;0;1
"ejército";0;1;1;1
"desastre";0;1;1;1
"dar|decir";1;0,04;1;0,008
"bárbaro";1;1;1;0,002
"base";0;1;0,086;1
"viaje";1;1;1;0
"sobrar";1;0,001;1;0,589
"minoría";1;0;1;1
"línea";0,845;1;0,634;0,062
"identificar";0;1;1;1
"avance";0;1;1;1
"actividad";0;1;1;1
"pedazo";1;1;1;0
"imperio";0;1;1;1
"honor";1;1;0,197;0
"equipo";1;1;0;1
"descubrir";1;0;1;1
"robar";0,493;0,002;1;1
"potencia";0;1;0,498;1
"plan";0,065;1;0,195;0,763
"conducta";0;1;1;1
"aplicar";0;1;1;1
"visitar";1;1;0,397;0
"repente";1;0,928;1;0
"punta";1;1;1;0
"planta";1;1;1;0
"paraguay";1;1;0;1
"indio";0;1;1;1
"barato";1;1;0,667;0,005
"acto";1;1;0,112;0,001
"serio";1;0,032;1;1
"seis";1;1;0,649;0
"reforma";0,024;1;0,002;1
"propiedad";0;0,109;1;1
"promedio";0;1;1;1
"lenguaje";0,092;0,106;0,916;1
"socialismo";0;1;1;1
"sobriedad";1;0;1;1
"presuponer";1;1;1;0,001
"positivo";0,004;0,002;1;1
"mpp";1;1;0;0,079
"cortar";1;1;1;0,001
"concentración";0;1;1;1
"clave";1;0,026;0;1
"armar";1;1;0;0,6
"recorrer";1;1;1;0
"lujo";1;1;1;0
"expresar";0;1;1;1
"corazón";1;0;1;1
"continuar";1;0;1;1
"aplauso";1;1;1;0
"aparato";0,001;1;1;1
"probable";0,276;1;0,397;0,907
"popular";1;1;0;1
"francés";0;1;1;1
"existencia";1;0;1;1
"egoísmo";1;0;1;1
"dominar";0;1;1;1
"debatir";1;1;0;1
"nota";1;1;1;0
"evolución";0;1;1;1
"estados unidos";0,044;1;0;1
"delante";0,001;0,109;1;1
"pata";1;1;1;0
"formidable";0;1;1;1
"encantar";1;1;1;0
"diario";1;1;0;1
"líder";1;1;0;1
"increíble";1;1;1;0
"factor";0;0,76;1;1
"extremo";0;1;0,756;1
"explotar";0;0,647;1;1
"digital";0;1;1;1
"conclusión";1;0,091;1;0,001
"chacra";1;1;1;0
"cantar";1;0,536;1;0
"ayuda";1;0;1;1
"necesario";1;0;1;1
"jamás";0;1;1;1
"fracaso";0,018;0,001;1;1
"débil";0;1;1;1
"consumista";0;0,818;1;1
"violencia";0;0,931;1;1
"venta";1;1;0;1
"tarea";1;1;0,767;0,307
"suceder";1;1;0;1
"papa";1;1;1;0
"tranquilo";1;1;1;0
"presencia";1;1;0,172;0
"infinito";1;0;1;1
"expresidente";1;1;0;0
"esclavo";1;0,018;0,002;1
"uso";1;1;0,473;0,16
"unidad";0;1;1;1
"suponer";1;1;0,034;0,007
"rodear";1;0;1;0,825
"plantar";1;1;1;0
"orden";1;0;1;1
"modo";1;0,159;1;0,903
"consumidor";0;1;0,148;1
"arte";1;0,075;1;0,048
"siguiente";1;1;0;0,515
"escalón";0;1;1;1
"contexto";0,368;1;0;1
"contestar";1;1;1;0
"cielo";1;0;1;1
"agricultura";1;1;0;1
"senado";1;1;1;0
"revolucionario";1;0,337;0,226;0,527
"interesar";0,794;0,009;1;1
"disparar";1;0;1;0,008
"característica";0,493;0,05;1;1
"trump";1;1;0;1
"simple";1;0,008;0,383;0,986
"reducir";0;1;1;1
"cuba";1;1;0,002;0,055
"condenar";0,007;0,004;1;1
"asumir";1;1;0;1
"vía";1;1;0;1
"sustituir";0;0,875;1;1
"regular";0;1;0;1
"escenario";1;1;0,383;0
"abrazo";1;1;1;0
"lista";1;1;0,172;0
"inglés";0;1;1;1
"habitante";1;1;0,002;0,001
"frase";1;1;1;0
"fracasar";0;1;1;1
"ambiente";0;1;1;1
"prensa";0,806;1;0;1
"obligar";0;1;1;1
"memoria";1;1;1;0
"incluir";0,005;0,703;0,568;1
"ex";1;1;0;0,984
"empresario";1;1;0,002;0,014
"casar";1;1;1;0
"áfrica";0,006;1;1;0,656
"sueldo";1;1;0,223;0,001
"premio";1;0,005;1;0
"expresión";0,117;0;1;1
"empujar";0;0,061;1;1
"costumbre";1;0;1;1
"clandestino";0;1;1;1
"cargar";1;0,002;0,969;1
"pronto";1;1;0,002;0,527
"impresión";0,002;1;1;1
"farmacia";1;1;0;1
"crítico";0;1;1;1
"celular";1;1;1;0
