el;9197;5784;4788;8989
que;6864;4351;3270;6839
de;5856;3396;3314;5478
y;4978;3150;2217;5298
ser;4806;3301;2281;4287
un;4248;2384;2153;4535
no;3746;2602;1699;3783
en;3501;1994;2242;3507
a;3057;1969;1540;3734
tener;2910;1908;1183;2716
haber;2403;1373;1141;2078
yo;1328;1137;806;2794
se;1884;1178;1060;2106
este;1719;1021;1009;2200
estar;1670;1060;956;2102
ese;1887;1197;863;1708
por;1679;1080;910;1796
pero;2018;1230;825;1782
él;1185;883;834;2219
con;1427;905;860;1698
para;1271;1046;595;1485
porque;1537;1168;582;1426
del;1151;520;803;944
todo;1033;676;491;1165
poder;1151;654;463;1024
como;886;666;521;1047
nosotros;996;683;379;874
si;905;647;393;930
tú;369;503;212;935
otro;614;476;366;695
suyo;502;316;388;625
al;522;323;420;693
qué;463;408;344;724
o;517;281;321;627
cuando;326;325;253;696
usted;269;177;398;608
muy;414;214;231;466
alguno;321;201;209;454
entonces;419;288;137;395
mío;200;300;151;521
también;342;185;201;379
nuestro;435;264;136;192
bien;236;122;133;287
ni;191;114;80;275
nada;188;203;81;282
algo;173;170;87;229
cada;247;157;59;163
sin;180;133;65;169
primero;109;68;150;219
vosotros;92;124;52;237
donde;142;79;76;190
hasta;110;74;71;209
entre;146;50;115;137
deber;165;95;70;119
desde;105;67;82;148
sobre;104;44;105;121
solo;127;116;49;101
tal;126;81;55;78
cual;95;70;47;84
cualquier;69;78;36;101
aquel;74;65;40;113
cierto;111;52;33;69
contra;97;57;55;44
dentro;92;48;42;80
cuál;91;51;51;63
antes;51;42;47;118
demás;82;48;32;96
largo;92;65;27;58
ustedes;42;31;29;99
quién;45;32;40;82
sino;73;42;26;45
pues;36;31;26;88
quien;67;23;36;59
30;45;17;43;84
ninguno;58;36;28;50
50;52;10;53;67
aunque;46;57;21;46
bastante;51;30;28;63
pocos;58;20;27;58
40;31;42;36;72
hacia;55;33;18;39
arriba;40;46;6;52
varios;38;15;34;53
s;37;20;27;68
20;18;20;26;77
dicho;35;22;32;47
10;17;12;22;70
bajo;46;17;29;31
mientras;40;27;20;28
durante;7;6;44;55
__;8;83;4;36
000;39;9;31;54
cuanto;39;21;19;32
incluso;27;9;26;39
15;17;4;26;56
5;21;8;24;56
verdadero;30;20;14;20
100;23;5;17;44
ante;37;15;16;11
3;4;6;15;52
8;10;8;11;52
solamente;24;6;18;27
encima;28;15;6;23
90;14;12;19;32
60;12;8;22;29
2;15;5;12;43
12;13;1;17;34
7;7;7;6;46
80;14;10;6;32
4;13;3;17;36
6;9;3;6;39
m;7;7;10;34
cierta|cierto;24;8;7;7
70;16;8;11;27
según;10;12;10;19
p;8;6;9;29
25;17;3;10;24
14;7;1;8;35
300;15;4;5;24
200;5;5;5;34
13;4;1;4;31
1;8;3;10;17
distintos;13;6;8;5
doble;13;6;1;9
km;5;5;7;14
22;6;1;4;22
l;6;8;4;13
1910;10;0;9;11
alrededor;6;6;6;8
é;6;2;5;12
c;5;9;3;16
2000;4;1;12;9
v;5;3;10;11
400;4;3;4;11
n;6;2;3;10
3000;5;0;5;12
ambo;7;5;8;6
18;2;0;6;15
t;5;3;4;10
h;3;1;7;11
19;1;1;4;14
150;4;7;6;8
cuyo;6;1;8;3
d;8;8;2;6
85;4;1;4;12
800;0;0;5;13
5000;1;2;0;10
35;2;0;2;13
21;4;2;4;12
f;1;1;3;13
120;3;1;7;7
11;4;2;2;10
23;1;0;5;11
2005;3;0;8;4
17;1;3;5;13
i;3;4;4;6
45;0;2;1;11
1900;3;1;8;1
conforme;6;2;3;3
9;3;1;5;5
24;1;2;4;12
16;1;0;2;10
28;0;0;2;13
1000;2;1;2;9
b;0;3;3;9
700;5;1;3;6
26;3;1;2;9
2010;1;1;6;5
diversos;7;2;2;3
500;3;2;4;7
27;3;0;1;9
1914;4;2;4;6
tras;3;3;0;9
82;1;0;3;8
mm;2;3;2;5
250;1;1;3;5
2015;3;1;5;3
130;3;0;2;4
diez;0;0;3;8
88;1;4;0;6
8000;2;1;1;5
87;0;3;3;7
65;5;4;1;1
2002;4;0;4;3
44;3;0;4;3
x;2;1;5;3
609;1;1;3;6
32;6;0;2;0
1930;2;0;7;2
1700;2;2;5;1
2008;3;0;2;3
r;4;0;2;5
99;1;1;2;2
9000;5;1;0;2
89;0;2;2;6
83;1;0;1;7
7000;2;1;2;3
4000;0;0;1;7
2009;0;0;6;3
1920;2;0;3;3
k;2;3;0;3
1985;0;0;4;3
consigo;0;4;0;3
52;2;0;1;5
1912;2;0;2;4
0;0;1;3;6
j;2;1;2;2
97;4;0;0;3
75;1;0;3;2
600;2;0;3;3
36;0;0;4;2
34;1;0;1;5
2007;2;0;3;2
1904;2;0;2;3
1842;0;0;3;2
setenta;1;0;0;5
72;0;1;1;6
37;4;0;3;2
10000;1;1;2;1
í;3;1;0;3
98;1;0;0;5
2014;2;0;2;2
