saber|ser	1584
crear|creer	2715
dios	397
hacer	7191
ilusión	22
volver	746
reencontrar	3
persona	566
perro	84
alivio	13
creencia	36
homo	27
sapien	55
resignar	9
muerte	240
imaginación	33
recrear	21
má	42
allá	679
además	563
ventaja	194
pepe	1540
vida	4008
mucho	5274
gente	3823
desesperación	10
vivir	3124
causa	361
acierto	23
error	295
siempre	1724
decir	7859
muchacho	315
querer	3835
cosa	5356
transformación	44
sociedad	1661
pintura	14
poesía	71
novelar	61
arte	107
instrumento	53
particularmente	58
lucha	599
conmover	15
comprometer	168
ver|vestir	350
pagar	976
cota	52
exactamente	143
inventarle	3
dar	3550
conciencia	189
naturaleza	472
animal	355
nacer	301
cómo	1874
creés	20
ir	10624
recordar	306
viejo	1634
medio	1303
año	3689
transformar	362
mundo	3550
empezar	1116
militar	390
ayer	160
militando	19
último	590
elección	264
hueso	67
discurso	335
acto	118
mpp	116
agarrar	294
mantener	318
parar	184
ya	1906
retirada	3
anciano	82
organización	180
político	3560
dedicar	297
casi	632
votar	271
récord	41
sector	293
historia	1598
país	2734
todavía	513
deapa	3
sacar	735
presidente	2616
entend	18
especie	449
premio	100
póstumo	6
vi	218
bueno	5452
claro	1480
arrimando	3
braza	6
peso	262
vivo	479
seguramente	345
odiar	240
ningún	463
compatriota	77
pensar	2180
altura	156
cultivar	145
pasar	3493
podar	27
ir|ser	689
torturar	20
comiste	4
pozo	24
perdonaste	3
olvidar	321
perdoné	9
cobro	12
ley	472
aprender	975
cuenta	1156
cobrar	217
cargar	100
prisionero	33
rencor	34
envenenar	10
poner	1978
ojo	192
adelante	314
útil	54
atrás	474
cuidar	271
espalda	81
adante	12
importar	285
mañana	365
eh	4029
cambiar	1054
ahora	2677
queo	14
malo	573
derecho	530
nadie	684
mis	355
odien	3
servir	383
revés	129
arrepentís	12
ah	364
luego	427
gobierno	1664
paisito	6
millón	745
tres	569
vaca	194
habitante	102
reco	3
mundial	443
más	8751
ganadero	57
picar	256
cento	6
pobre	918
goyete	12
dificultad	252
comer	511
pradera	13
vacío	11
responsabilidad	239
entender	816
arrepentirme	4
llegar	1388
sartén	13
mango	39
menos	1459
significar	410
necesariamente	69
estado	2022
unir	519
segundo	297
acuerdo	896
colectivizar	20
patente	48
conocimiento	263
covid	28
plantear	469
sudáfrica	13
después	2063
nunca	1103
abrir	247
boca	84
ver	3673
qu	76
dar|decir	122
modna	6
últimamente	16
decidir	304
interés	450
económico	609
grande	2204
medida	385
difícil	504
srar	3
fijar	150
cambio	679
climático	70
congreso	128
kioto	27
fallar	129
ciencia	325
enfrentar	196
economía	828
ahí	2124
saber	1777
combustión	12
agrede	6
ambiente	102
caminamos	12
harari	4
día	1403
hablar	2609
teléfono	140
angustia	63
humanidad	602
tiempo	2648
enmendar	11
cometido	31
preocupación	173
serio	117
ademá	6
civilización	502
mentiroso	21
parecer	1615
bañar	49
jacuzzi	10
precisar	157
amazona	16
mentira	93
nivel	258
despilfarro	64
sobrar	121
sostenible	8
tirar	425
mir	42
importamos	21
par	163
zapato	93
pie	82
amonton	3
basura	71
hora	491
trabajo	840
pedo	57
precisamos	168
tanto	1115
durar	194
generar	483
mercado	790
mover	316
acumulación	147
etapa	330
desarrollo	204
subliminal	82
meter	667
casa	945
hijo	892
comprar	1209
championes	18
barato	118
vergüenza	51
comparar	70
remedio	38
seguir	1440
rosca	9
raro	196
filosóficamente	36
estoico	69
república	331
mirar	1196
vivimo	3
ranchar	44
común	393
corriente	188
escalón	106
clase	419
uruguayo	521
preciso	396
desesperar	96
manera	837
sacrifica	5
ta	12
subliminalmente	15
progresar	43
nuevo	1023
enganchar	29
alcanzar	236
pris	7
auto	394
quer	8
acordar	189
trabajar	1374
poco	1970
noos	15
esclavo	108
ent	29
joda	53
joven	779
tod	81
importante	1023
amor	506
motor	85
empujar	100
reproducción	16
fuerte	602
nosot	8
hecho	807
existir	865
humano	1654
bicho	34
planta	118
color	92
flor	163
etcétera	396
lado	1038
condenar	104
morirnos	9
vegetal	32
fuerza	434
interior	268
buscar	514
reproducirnos	3
distinto	515
totalmente	167
fogata	18
impulsivo	9
dulce	90
costumbre	100
disparar	105
soledad	288
castigo	66
ancian	6
terminar	896
deant	3
mes	312
compañero	559
junto	249
privilegiar	68
cuánto	244
llevar	1284
oh	23
feliz	288
lleno	246
contratiempo	26
matadura	7
entusiasmo	9
gana	89
compromiso	144
lujo	115
escuela	275
enfrente	72
costar	145
huevo	52
regalar	130
sueldo	100
sentir	287
orgulloso	38
acá	1680
morir	428
sirviente	34
obligar	101
contraer	9
libre	412
gastar	463
decidís	6
motivar	69
cumplir	322
obligación	128
necesitar	823
dependiente	44
recomendar	41
sobriedad	116
loco	421
pobreza	315
sobreedad	3
mismo	1657
falta	318
comida	222
recomendable	4
asegurarse	11
pequeño	596
estabilidad	63
heladera	33
paso	238
equipar	9
felicidad	290
libertad	654
uno	1717
repente	118
pasión	140
música	1314
jodiendo	33
violar	15
bandoneón	6
violín	3
deportar	47
andar	841
bicicleta	98
arranqué	12
chifladura	16
mejorar	305
militancia	77
militaba	3
agrupación	43
anarquista	31
libertaria	43
libertarios	14
argentino	1383
anti	14
anticapitalistas	3
mencionaste	6
sumo	18
trump	104
sumar	34
ejemplo	938
preocupar	417
deriva	13
ultraderecha	3
evolución	113
democracia	393
tan	938
singular	31
universidad	325
brillante	40
intelectualidad	6
vuele	3
bata	10
elegir	310
tipo	979
dónde	336
reconocer	380
fenómeno	357
inflacionario	12
pueblo	916
alemania	96
inteligente	138
europa	524
instruir	12
hitler	22
